,,,,,,,,,,,,,,
,T,Observed Value,Corrected Value,Deviation,Observed Value,Corrected Value,Deviation,,,,,,,
,22.2,20,20.154,-0.15399999999999991,1.33299,1.33398,-0.0009900000000000464,,,,,,,
,22.3000000000001,20,20.16100000000001,-0.16100000000000847,1.33299,1.334025,-0.0010350000000001192,,,,,,,
,22.4,20,20.168,-0.16799999999999926,1.33299,1.3340699999999999,-0.0010799999999999699,,,,,,,
,22.5,20,20.175,-0.1750000000000007,1.33299,1.334115,-0.0011250000000000426,,,,,,,
,22.6000000000001,20,20.182000000000006,-0.1820000000000057,1.33299,1.33416,-0.0011700000000001154,,,,,,,
,22.7,20,20.189,-0.18900000000000006,1.33299,1.3342049999999999,-0.001214999999999966,,,,,,,
,22.8000000000001,20,20.19600000000001,-0.1960000000000086,1.33299,1.33425,-0.0012600000000000389,,,,,,,
,22.9000000000001,20,20.203000000000007,-0.2030000000000065,1.33299,1.334295,-0.0013050000000001116,,,,,,,
,23.0000000000001,20,20.210000000000008,-0.21000000000000796,1.33299,1.3343399999999999,-0.0013499999999999623,,,,,,,
,23.1000000000001,20,20.217000000000006,-0.21700000000000585,1.33299,1.334385,-0.001395000000000035,,,,,,,
,23.2000000000001,20,20.224000000000007,-0.2240000000000073,1.33299,1.33443,-0.0014400000000001079,,,,,,,
,23.3000000000001,20,20.23100000000001,-0.23100000000000875,1.33299,1.3344749999999999,-0.0014849999999999586,,,,,,,
,23.4000000000001,20,20.238000000000007,-0.23800000000000665,1.33299,1.33452,-0.0015300000000000313,,,,,,,
,23.5000000000001,20,20.245000000000008,-0.2450000000000081,1.33299,1.334565,-0.001575000000000104,,,,,,,
,23.6000000000001,20,20.252000000000006,-0.252000000000006,1.33299,1.3346099999999999,-0.0016199999999999548,,,,,,,
,23.7000000000001,20,20.259000000000007,-0.25900000000000745,1.33299,1.334655,-0.0016650000000000276,,,,,,,
,23.8000000000001,20,20.266000000000005,-0.26600000000000534,1.33299,1.3347,-0.0017100000000001003,,,,,,,
,23.9000000000001,20,20.273000000000007,-0.2730000000000068,1.33299,1.3347449999999998,-0.001754999999999951,,,,,,,
,24.0000000000001,20,20.28000000000001,-0.28000000000000824,1.33299,1.33479,-0.0018000000000000238,,,,,,,
,24.1000000000001,20,20.287000000000006,-0.28700000000000614,1.33299,1.334835,-0.0018450000000000966,,,,,,,
,24.2000000000001,20,20.294000000000008,-0.2940000000000076,1.33299,1.3348799999999998,-0.0018899999999999473,,,,,,,
,24.3000000000001,20,20.301000000000005,-0.3010000000000055,1.33299,1.334925,-0.00193500000000002,,,,,,,
,24.4000000000001,20,20.308000000000007,-0.30800000000000693,1.33299,1.33497,-0.001980000000000093,,,,,,,
,24.5000000000001,20,20.31500000000001,-0.3150000000000084,1.33299,1.3350149999999998,-0.0020249999999999435,,,,,,,
,24.6000000000001,20,20.322000000000006,-0.3220000000000063,1.33299,1.33506,-0.0020700000000000163,,,,,,,
,24.7000000000001,20,20.329000000000008,-0.32900000000000773,1.33299,1.335105,-0.002115000000000089,,,,,,,
,24.8000000000001,20,20.336000000000006,-0.3360000000000056,1.33299,1.3351499999999998,-0.0021599999999999397,,,,,,,
,24.9000000000001,20,20.343000000000007,-0.3430000000000071,1.33299,1.335195,-0.0022050000000000125,,,,,,,
,25.0000000000001,20,20.35000000000001,-0.3500000000000085,1.33299,1.33524,-0.0022500000000000853,,,,,,,
,25.1000000000001,20,20.357000000000006,-0.3570000000000064,1.33299,1.3352849999999998,-0.002294999999999936,,,,,,,
,25.2000000000001,20,20.364000000000008,-0.3640000000000079,1.33299,1.33533,-0.0023400000000000087,,,,,,,
,25.3000000000001,20,20.371000000000006,-0.37100000000000577,1.33299,1.335375,-0.0023850000000000815,,,,,,,
,25.4000000000001,20,20.378000000000007,-0.3780000000000072,1.33299,1.33542,-0.0024300000000001543,,,,,,,
,25.5000000000001,20,20.38500000000001,-0.38500000000000867,1.33299,1.335465,-0.002475000000000005,,,,,,,
,25.6000000000001,20,20.392000000000007,-0.39200000000000657,1.33299,1.33551,-0.0025200000000000777,,,,,,,
,25.7000000000001,20,20.399000000000008,-0.399000000000008,1.33299,1.335555,-0.0025650000000001505,,,,,,,
,25.8000000000001,20,20.406000000000006,-0.4060000000000059,1.33299,1.3356,-0.002610000000000001,,,,,,,
,25.9000000000001,20,20.413000000000007,-0.41300000000000736,1.33299,1.335645,-0.002655000000000074,,,,,,,
,26.0000000000001,20,20.420000000000005,-0.42000000000000526,1.33299,1.33569,-0.0027000000000001467,,,,,,,
,26.1000000000001,20,20.427000000000007,-0.4270000000000067,1.33299,1.335735,-0.0027449999999999974,,,,,,,
,26.2000000000001,20,20.434000000000008,-0.43400000000000816,1.33299,1.33578,-0.00279000000000007,,,,,,,
,26.3000000000001,20,20.441000000000006,-0.44100000000000605,1.33299,1.335825,-0.002835000000000143,,,,,,,
,26.4000000000001,20,20.448000000000008,-0.4480000000000075,1.33299,1.33587,-0.0028799999999999937,,,,,,,
,26.5000000000001,20,20.455000000000005,-0.4550000000000054,1.33299,1.335915,-0.0029250000000000664,,,,,,,
,26.6000000000001,20,20.462000000000007,-0.46200000000000685,1.33299,1.33596,-0.002970000000000139,,,,,,,
,26.7000000000001,20,20.46900000000001,-0.4690000000000083,1.33299,1.3360049999999999,-0.00301499999999999,,,,,,,
,26.8000000000001,20,20.476000000000006,-0.4760000000000062,1.33299,1.33605,-0.0030600000000000627,,,,,,,
,26.9000000000001,20,20.483000000000008,-0.48300000000000765,1.33299,1.336095,-0.0031050000000001354,,,,,,,
,27.0000000000001,20,20.490000000000006,-0.49000000000000554,1.33299,1.3361399999999999,-0.003149999999999986,,,,,,,
,27.1000000000001,20,20.497000000000007,-0.497000000000007,1.33299,1.336185,-0.003195000000000059,,,,,,,
,27.2000000000001,20,20.50400000000001,-0.5040000000000084,1.33299,1.33623,-0.0032400000000001317,,,,,,,
,27.3000000000001,20,20.511000000000006,-0.5110000000000063,1.33299,1.3362749999999999,-0.0032849999999999824,,,,,,,
,27.4000000000001,20,20.518000000000008,-0.5180000000000078,1.33299,1.33632,-0.003330000000000055,,,,,,,
,27.5000000000001,20,20.525000000000006,-0.5250000000000057,1.33299,1.336365,-0.003375000000000128,,,,,,,
,27.6000000000001,20,20.532000000000007,-0.5320000000000071,1.33299,1.3364099999999999,-0.0034199999999999786,,,,,,,
,27.7000000000001,20,20.53900000000001,-0.5390000000000086,1.33299,1.336455,-0.0034650000000000514,,,,,,,
,27.8000000000001,20,20.546000000000006,-0.5460000000000065,1.33299,1.3365,-0.003510000000000124,,,,,,,
,27.9000000000001,20,20.553000000000008,-0.5530000000000079,1.33299,1.3365449999999999,-0.003554999999999975,,,,,,,
,28.0000000000001,20,20.560000000000006,-0.5600000000000058,1.33299,1.33659,-0.0036000000000000476,,,,,,,
,28.1000000000001,20,20.567000000000007,-0.5670000000000073,1.33299,1.336635,-0.0036450000000001204,,,,,,,
,28.2000000000001,20,20.574000000000005,-0.5740000000000052,1.33299,1.3366799999999999,-0.003689999999999971,,,,,,,
,28.3000000000001,20,20.581000000000007,-0.5810000000000066,1.33299,1.336725,-0.003735000000000044,,,,,,,
,28.4000000000001,20,20.588000000000008,-0.5880000000000081,1.33299,1.33677,-0.0037800000000001166,,,,,,,
,28.5000000000001,20,20.595000000000006,-0.595000000000006,1.33299,1.3368149999999999,-0.0038249999999999673,,,,,,,
,28.6000000000001,20,20.602000000000007,-0.6020000000000074,1.33299,1.33686,-0.00387000000000004,,,,,,,
,28.7000000000001,20,20.609000000000005,-0.6090000000000053,1.33299,1.336905,-0.003915000000000113,,,,,,,
,28.8000000000001,20,20.616000000000007,-0.6160000000000068,1.33299,1.3369499999999999,-0.0039599999999999635,,,,,,,
,28.9000000000001,20,20.623000000000008,-0.6230000000000082,1.33299,1.336995,-0.004005000000000036,,,,,,,
,29.0000000000001,20,20.630000000000006,-0.6300000000000061,1.33299,1.33704,-0.004050000000000109,,,,,,,
,29.1000000000001,20,20.637000000000008,-0.6370000000000076,1.33299,1.3370849999999999,-0.00409499999999996,,,,,,,
,29.2000000000001,20,20.644000000000005,-0.6440000000000055,1.33299,1.33713,-0.0041400000000000325,,,,,,,
,29.3000000000001,20,20.651000000000007,-0.6510000000000069,1.33299,1.337175,-0.004185000000000105,,,,,,,
,29.4000000000001,20,20.65800000000001,-0.6580000000000084,1.33299,1.3372199999999999,-0.004229999999999956,,,,,,,
,29.5000000000001,20,20.665000000000006,-0.6650000000000063,1.33299,1.337265,-0.004275000000000029,,,,,,,
,29.6000000000002,20,20.672000000000015,-0.6720000000000148,1.33299,1.33731,-0.0043200000000001015,,,,,,,
,29.7000000000002,20,20.679000000000013,-0.6790000000000127,1.33299,1.337355,-0.004365000000000174,,,,,,,
,29.8000000000002,20,20.686000000000014,-0.6860000000000142,1.33299,1.3374,-0.004410000000000025,,,,,,,
,29.9000000000002,20,20.693000000000016,-0.6930000000000156,1.33299,1.337445,-0.004455000000000098,,,,,,,
,30.0000000000002,20,20.700000000000014,-0.7000000000000135,1.33299,1.33749,-0.0045000000000001705,,,,,,,
,30.1000000000002,20,20.707000000000015,-0.707000000000015,1.33299,1.337535,-0.004545000000000021,,,,,,,
,30.2000000000002,20,20.714000000000013,-0.7140000000000128,1.33299,1.33758,-0.004590000000000094,,,,,,,
,,,,,,,,,,,,,,
