 COMMON DATA ,,,,,,,,,,,,,,,SPECIFIC DATA,,,,,,,,,,,,Reminder Recalibration,,,TOTAL
32,Differential Pressure,SIDIK-IK-CAL-0532_Rev.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Pressure Transmitter,SIDIK-IK-CAL-0533_Rev.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Vacuum Gauge,SIDIK-IK-CAL-0534_Rev.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Anak Timbangan,SIDIK-IK-CAL-0535_Rev.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Gas Detector,SIDIK-IK-CAL-0536_Rev.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Height Gauge,SIDIK-IK-CAL-0537_Rev.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Validasi,Jabatan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AM,Technical Manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NR,Supervisor,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,DR,Data Analyst,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,NS,Data Analyst,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
