STANDAR KALIBRATOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nama Alat,:,Temperature Calibrator,,,Tanggal Kalibrasi ,,:,2025-08-12T00:00:00,,,,,Nama Alat,:,Thermocouple,,,Tanggal Kalibrasi ,,:,2024-09-06T00:00:00,,,,,,,,,,,,
,Merek,:,Yokogawa,,,Due Date Kalibrasi,,:,2026-08-12T00:00:00,,,,,Merek,:,-,,,Due Date Kalibrasi,,:,2025-09-06T00:00:00,,,,,,,,,,,,
,Type,:,CA 150 Handy Cal,,,Tertelusur,,:,LK-241-IDN,,,,,Type,:,Type K,,,Tertelusur,,:,LK-064-IDN,,,,,,,,,,,,
,S/N,:,23P1005,,,Resolusi,,:,0.1,°C,,,,S/N,:,"TC-01,02",,,Resolusi,,:,1,°C,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,U95 % (°C),,,,,,,,,,,,,U95 % (°C),,,,,,,,,,,,,,,,,,
,,,Measure,Type K,,,,,,,,,,,,Type K,(°C),,,,,,,,,,,,,,,,,
,,,0,0.34,,,,,,,,,,,,0,0.44,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nama Alat,:,Digital Caliper,,,Tanggal Kalibrasi ,,:,2025-07-25T00:00:00,,,,,Nama Alat,:,Ultrasonic Thickness Gauge,,,Tanggal Kalibrasi ,,:,2025-08-01T00:00:00,,,,,,,,,,,,
,Merek,:,Tesa,,,Due Date Kalibrasi,,:,2026-07-25T00:00:00,,,,,Merek,:,-,,,Due Date Kalibrasi,,:,2026-08-01T00:00:00,,,,,,,,,,,,
,Type,:,Cal-IP67,,,Tertelusur,,:,LK-285-IDN,,,,,Type,:,TM-8812,,,Tertelusur,,:,0,,,,,,,,,,,,
,S/N,:,LPI-0368,,,Resolusi,,:,0.01,mm,,,,S/N,:,N889479,,,Resolusi,,:,1,°C,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,U95 % (mm),,,TABEL JARAK TRANDUCER STANDAR KALIBRATOR,,,,,,,,,,U95 % (°mm),,,,,,,,,,,,,,,,,,
,,,Measure,mm,,,,,,,,,,,,Measure,(mm),,,,,,,,,,,,,,,,,
,,,150,0.015,,Nama,,U95%,Satuan,,,,,,,25,0.0096,,,,,,,,,,,,,,,,,
,,,,,,Steel Ruler PB-01,,0.16,mm,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nama Alat,:,Timer,,,Tanggal Kalibrasi ,,:,2025-04-25T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
,Merek,:,Weight Scale,,,Due Date Kalibrasi,,:,2026-04-25T00:00:00,,,,,Data Kestabilan Pembacaan Flowrate,,,,,,,,,,,,,,,,,,,,
,Type,:,Timer.FM.1,,,Tertelusur,,:,LK-361-IDN,,,,,Tgl pengujian ,:,2026-01-26T00:00:00,,,,,,,,,,,,,,,,,,
,S/N,:,SW-1,,,,,,,,,,,Teknisi    ,:,DT & NR,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,U95 % (kg),,,,,,,,,,,,Tabel Stabilitas Aliran,,,,,,,,,,,,,,,,,,,,
,,S,Minute,,,,,,,,,,,Pembacaan(Lpm),,,,Pengambilan data dilakukan 4 kali pengulangan dengan rentang waktu per 1 menit,,,,,,,,,,,,,,,,
,,0.14,0.0023333333333333335,,,,,,,,,,,"20""","40""","60""",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,250.026,250.385,251.441,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Min,250.026,Lpm,,,,,,,,,,,,,,,,,,
,Data Kestabilan Pembacaan Totalizer,,,,,,,,,,,,,Max,251.441,Lpm,,,,,,,,,,,,,,,,,,
,Tgl pengujian ,:,2026-01-26T00:00:00,,,,,,,,,,,,0.707499999999996,Lpm,,,,,,,,,,,,,,,,,,
,Teknisi    ,:,DT & NR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tabel Stabilitas Aliran,,,,,,,,,,,,,TABEL RECORD DRIFT STANDAR KALIBRATOR,,,,,,,,,,,,,,,,,,,,
,Pembacaan(Lpm),,,,Pengambilan data dilakukan 4 kali pengulangan dengan rentang waktu per 1 menit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"20""","40""","60""",,,,,,,,,,,Nama,,Drift,Satuan,,,,,,,,,,,,,,,,,
,250.026,250.385,251.441,,,,,,,,,,,Temp. Cal Yokogawa - TC Type K,,0.06,°C,,,,,,,,,,,,,,,,,
,Min,250.026,L,,,,,,,,,,,Timer Software Flowmeter,,0.0003,min,,,,,,,,,,,,,,,,,
,Max,251.441,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.707499999999996,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
