,,,,,,,,,,,,,
Uncertainty Budget sebagai Pendukung Kemampuan Kalibrasi dan Pengukuran (CMC),,,,,,,,,,,,,
Nama laboratorium,,: PT Sistem Dirgantara Inovasi Teknologi,,,,,,,,,,,
Alamat,,[ALAMAT PELANGGAN DIREDAKSI],,,,,,,,,,,
UNCERTAINTY BUDGET SEBAGAI PENDUKUNG KLAIM CMC,,,,,,,,,,,,,
Besaran yang diukur,,: Flowrate (Lpm),,,,,,,,,,,
Jenis alat yang dikalibrasi,,: Flowmeter,,,,,,,,,,,
Standar yang digunakan,,: ,,,,,,,,,,,
,,Nama,Merk,Tipe ,SN,,,,,,,,
,Component,Unit,Distribution,U,Divisor,vi,ui,ci,uici,(uici)2,(uici)4/vi,,
,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),,
,Ketidakpastian Standar Flowmeter Ultrasonik (FU),Lpm,normal,3.032068,2,60,1.516034,1,1.516034,2.2983590891560004,0.08804090837843333,,
,Resolusi Alat yang dikalibrasi,Lpm,rectangular,0.0005,1.73,50,0.00028901734104046245,1,0.00028901734104046245,8.353102342209898e-08,1.3954863747886496e-16,,
,Pengulangan Pembacaan UUT,Lpm,rectangular,0.017578395831250038,1.7320508075688772,2,0.010148891565094005,1,0.010148891565094005,0.00010300000000003624,5.304500000003733e-09,,
,Ketidakpastian Pengukuran temperature media fluida,oC,Normal,0.2780287754891569,2,50,0.13901438774457844,0.06480299809507929,0.009008549104200531,8.11539569627922e-05,1.3171929461437458e-10,,
,Pengulangan Pembacaan Standar,Lpm,T-Student,0.33863784873017166,1.7320508075688772,2,0.1955126531221604,1,0.1955126531221604,0.038225197530866215,0.0007305828631368703,,
,Ketidakpastian Cross sectional area,mm2,Normal,0.883253086081929,1.73,50,0.5105509168103636,0.18328101247454312,0.09357428895280967,0.008756147553023917,1.5334023994065347e-06,,
,Velocity Profile,LPM,rectangular,0.3375108,1.73,50,0.19509294797687862,1,0.19509294797687862,0.03806125835030907,2.8973187744179434e-05,,
,Geometry factor,LPM,rectangular,0.920484,1.73,50,0.5320716763005781,1,0.5320716763005781,0.2831002687213071,0.001602915243001526,,
,Drift UFM Standar,LPM,rectangular,0.030320680000000003,1.73,50,0.01752640462427746,1,0.01752640462427746,0.0003071748590538943,1.8871278806955964e-09,,
,Sum,,,,,,,,2.5692584289870393,2.666993373658547,0.09040492039806264,,
,"Uncertainty Combination, uc",,,,,,,,1.6330931919699339,,,,
,Veff,,,,,,,,78.67772709516183,,,,
,K Factor & Confident Level 95%,,,,,,,,1.990847068811692,,,,
,"Expanded Uncertainty, U = k.Uc",,,,,,,,3.2512387943296726,,,,
,,,,,,,,,CMC,,% O.R,,
,,,,,,,,,U95% sert,3.2512387943296726,Lpm,,
,,,,,,,,,,,,,
,Point 3,,,,,,,,,,,,
,Component,Unit,Distribution,U,Divisor,vi,ui,ci,uici,(uici)2,(uici)4/vi,,
,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),,
,Ketidakpastian Standar Flowmeter Ultrasonik (FU),Lpm,normal,#N/A,2,60,#N/A,1,#N/A,#N/A,#N/A,,
,Resolusi Alat yang dikalibrasi,Lpm,rectangular,0.0005,1.73,50,0.00028901734104046245,1,0.00028901734104046245,8.353102342209898e-08,1.3954863747886496e-16,,
,Pengulangan Pembacaan UUT,Lpm,rectangular,0,1.7320508075688772,2,0,1,0,0,0,,
,Ketidakpastian Standar Thermometer,oC,Normal,0.2780287754891569,2,50,0.13901438774457844,#N/A,#N/A,#N/A,#N/A,,
,Pengulangan Pembacaan Standar,Lpm,T-Student,0,1.7320508075688772,2,0,1,0,0,0,,
,Ketidakpastian Cross sectional area,mm2,Normal,0.883253086081929,1.73,50,0.5105509168103636,#N/A,#N/A,#N/A,#N/A,,
,Velocity Profile,LPM,rectangular,#N/A,1.73,50,#N/A,1,#N/A,#N/A,#N/A,,
,Geometry factor,LPM,rectangular,#N/A,1.73,50,#N/A,1,#N/A,#N/A,#N/A,,
,Drift UFM Standar,LPM,rectangular,#N/A,1.73,50,#N/A,1,#N/A,#N/A,#N/A,,
,Sum,,,,,,,,#N/A,#N/A,#N/A,,
,"Uncertainty Combination, uc",,,,,,,,#N/A,,,,
,Veff,,,,,,,,#N/A,,,,
,K Factor & Confident Level 95%,,,,,,,,#N/A,,,,
,"Expanded Uncertainty, U = k.Uc",,,,,,,,#N/A,,,,
,,,,,,,,,CMC,,% O.R,,
,,,,,,,,,U95% sert,#N/A,Lpm,,
,,,,,,,,,,,,,
