,,,,"0.61 [=IF(PERHITUNGAN!G33="""","""",IF('INPUT DATA'!$G$15=""kg/m3"",PERHITUNGAN!G33/DATABASE!$W$21,IF('INPUT DATA'!$G$15=""g/ml"",PERHITUNGAN!G33/DATABASE!$W$20,""pilih satuan"")))]",,,,,"0.6039099485606535 [=IF(PERHITUNGAN!G109="""","""",IF('INPUT DATA'!$G$15=""kg/m3"",PERHITUNGAN!G109/DATABASE!$W$21,IF('INPUT DATA'!$G$15=""g/ml"",PERHITUNGAN!G109/DATABASE!$W$20,""pilih satuan"")))]",,,,,"-0.006090051439346489 [=IF(ISERROR(J17-E17),"""",J17-E17)]",,,,"0.0007 [=IF('NILAI U95%'!L80="""","""",IF('INPUT DATA'!$G$15=""kg/m3"",'NILAI U95%'!L80/DATABASE!$W$21,IF('INPUT DATA'!$G$15=""g/ml"",'NILAI U95%'!L80/DATABASE!$W$20,""pilih satuan"")))]",,,,,,,,,,,,,,,,,,,
,,,,"0.625 [=IF(PERHITUNGAN!H33="""","""",IF('INPUT DATA'!$G$15=""kg/m3"",PERHITUNGAN!H33/DATABASE!$W$21,IF('INPUT DATA'!$G$15=""g/ml"",PERHITUNGAN!H33/DATABASE!$W$20,""pilih satuan"")))]",,,,,"0.617625047903747 [=IF(PERHITUNGAN!H109="""","""",IF('INPUT DATA'!$G$15=""kg/m3"",PERHITUNGAN!H109/DATABASE!$W$21,IF('INPUT DATA'!$G$15=""g/ml"",PERHITUNGAN!H109/DATABASE!$W$20,""pilih satuan"")))]",,,,,"-0.007374952096253051 [=IF(ISERROR(J18-E18),"""",J18-E18)]",,,,"0.0007 [=IF('NILAI U95%'!L114="""","""",IF('INPUT DATA'!$G$15=""kg/m3"",'NILAI U95%'!L114/DATABASE!$W$21,IF('INPUT DATA'!$G$15=""g/ml"",'NILAI U95%'!L114/DATABASE!$W$20,""pilih satuan"")))]",,,,,,,,,,,,,,,,,,,
,,,,"0.65 [=IF(PERHITUNGAN!I33="""","""",IF('INPUT DATA'!$G$15=""kg/m3"",PERHITUNGAN!I33/DATABASE!$W$21,IF('INPUT DATA'!$G$15=""g/ml"",PERHITUNGAN!I33/DATABASE!$W$20,""pilih satuan"")))]",,,,,"0.6446329414723625 [=IF(PERHITUNGAN!I109="""","""",IF('INPUT DATA'!$G$15=""kg/m3"",PERHITUNGAN!I109/DATABASE!$W$21,IF('INPUT DATA'!$G$15=""g/ml"",PERHITUNGAN!I109/DATABASE!$W$20,""pilih satuan"")))]",,,,,"-0.005367058527637525 [=IF(ISERROR(J19-E19),"""",J19-E19)]",,,,"0.0007 [=IF('NILAI U95%'!L148="""","""",IF('INPUT DATA'!$G$15=""kg/m3"",'NILAI U95%'!L148/DATABASE!$W$21,IF('INPUT DATA'!$G$15=""g/ml"",'NILAI U95%'!L148/DATABASE!$W$20,""pilih satuan"")))]",,,,,,,,,,,,,,,,,,,
,,,,"[=IF(PERHITUNGAN!J33="""","""",IF('INPUT DATA'!$G$15=""kg/m3"",PERHITUNGAN!J33/DATABASE!$W$21,IF('INPUT DATA'!$G$15=""g/ml"",PERHITUNGAN!J33/DATABASE!$W$20,""pilih satuan"")))]",,,,,"#VALUE! [=IF(PERHITUNGAN!J109="""","""",IF('INPUT DATA'!$G$15=""kg/m3"",PERHITUNGAN!J109/DATABASE!$W$21,IF('INPUT DATA'!$G$15=""g/ml"",PERHITUNGAN!J109/DATABASE!$W$20,""pilih satuan"")))]",,,,,"[=IF(ISERROR(J20-E20),"""",J20-E20)]",,,,"#VALUE! [=IF('NILAI U95%'!L182="""","""",IF('INPUT DATA'!$G$15=""kg/m3"",'NILAI U95%'!L182/DATABASE!$W$21,IF('INPUT DATA'!$G$15=""g/ml"",'NILAI U95%'!L182/DATABASE!$W$20,""pilih satuan"")))]",,,,,,,,,,,,,,,,,,,
,,,,"[=IF(PERHITUNGAN!K33="""","""",IF('INPUT DATA'!$G$15=""kg/m3"",PERHITUNGAN!K33/DATABASE!$W$21,IF('INPUT DATA'!$G$15=""g/ml"",PERHITUNGAN!K33/DATABASE!$W$20,""pilih satuan"")))]",,,,,"#VALUE! [=IF(PERHITUNGAN!K109="""","""",IF('INPUT DATA'!$G$15=""kg/m3"",PERHITUNGAN!K109/DATABASE!$W$21,IF('INPUT DATA'!$G$15=""g/ml"",PERHITUNGAN!K109/DATABASE!$W$20,""pilih satuan"")))]",,,,,"[=IF(ISERROR(J21-E21),"""",J21-E21)]",,,,"#VALUE! [=IF('NILAI U95%'!L216="""","""",IF('INPUT DATA'!$G$15=""kg/m3"",'NILAI U95%'!L216/DATABASE!$W$21,IF('INPUT DATA'!$G$15=""g/ml"",'NILAI U95%'!L216/DATABASE!$W$20,""pilih satuan"")))]",,,,,,,,,,,,,,,,,,,
,,,,Uncertainty U95% = ±,,,,,,,,,,,g/ml [=G10],,,,,,,,,,,,,,,,,,,,,,
,,,,The uncertainty is taken at a convidence level 95 % and coverage factor ( k ) = ,,,,,,,,,,,,,,,,1.9791241094237992 [='NILAI U95%'!K77],,,,,,,,,,,,,,,,,
,,,,,- Calibration results are not to be announced and only apply to related tools -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Standard Used :,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Name,,,,,,,Merk/Type :,,,,,Serial Number :,,,,,Traceable to SI through : ,,,,,,,,,,,,,,,,,,,
,Analytical Balance [=DATABASE!V13],,,,,,,Fujitsu/FS-AR210 [=DATABASE!W13],,,,,INS-N1600555 [=DATABASE!X13],,,,,LK-285-IDN [=DATABASE!Y13],,,,,,,,,,,,,,,,,,,
,Termometer & Sensor Std. [=DATABASE!V14],,,,,,,Yokogawa/CA 150 Handy Cal [=DATABASE!W14],,,,,23P1005 [=DATABASE!X14],,,,,LK-285-IDN [=DATABASE!Y14],,,,,,,,,,,,,,,,,,,
,Caliper [=DATABASE!V16],,,,,,,Tesa/Cal-IP67 [=DATABASE!W16],,,,,LPI-0368 [=DATABASE!X16],,,,,LK-285-IDN [=DATABASE!Y16],,,,,,,,,,,,,,,,,,,
,Issuance Date :,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-09-04 00:00:00 [=R7+0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alex Misramto [='INPUT DATA'!Y15],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Technical Manager [='INPUT DATA'!Y16],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIDIK-FM-CAL-2403_Rev. 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
