,,,,,        √n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,*) The degrees of freedom = n - 1,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,*) Taken from the total repeat of reading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"*) Repeat, n = 10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Assumed the influence of bouyant force is 1 ppm, rectangular distribution and then : ",,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Uby =,1 ppm x nominal standard weight,,,(kg),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,√3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,The degrees of freedom is unlimited (Vi) =,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Uncertainty of drift standard weight (kg),,,Ud = ,d,,0.00038916199377097004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,√3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5. LOADING INFLUENCE ON EACH POSITION (LP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"The standard weight 1 kg, it placed on pan at several positions and then in tare.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,The weighing result is as follows : ,,,AT Used:,200,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Position,The Reading,Difference,Min Value,Max Value,"Max Difference
(Max Value-Min Value)",Pan Face  :,Kotak,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,kg,kg,kg,kg,kg,Size      :,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Center,200,0,-0.09999999999999432,0.09999999999999432,0.19999999999998863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Front,200.1,-0.09999999999999432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Back,199.9,0.09999999999999432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Left,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Right,200.1,-0.09999999999999432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6. HYSTERISIS (HYS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Standar Weight (g),,Reading 1 (g),,Reading 2 (g),,Hysterisis  =,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M =,200,M(p1) =,200,M(p3) =,200,=,0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M' =,200,M+M' =,400,M+M' =,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,M(q1) =,200,M(q3) =,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Zero =,0,Zero =,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,M+M' =,400,M+M' =,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,M(q2) =,200,M(q4) =,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Zero =,0.02,Zero =,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,M(p2) =,200,M(p4) =,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7. LIMIT OF PERFORMANCE (LOP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F,=  ±,"2,26 . Sr max+ |C max| + U95% C max",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,=  ±,13.660610503200731,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Note :,F =,LOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Sr max =,max. value repeatability measurement of the balance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,C max =,max. correction of balance reading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,U95% Cmax =,expanded uncertainty associated with Cmax (max. correction of balance reading),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
