,8,Master Olah Data_Conductivity,2024-04-03 00:00:00,"Update new larutan std conduct (certified MRA/ISO 17034)
Change point ukur menjadi 3 (25 uS, 1412 uS, dan 111 mS)",HN,,,,,,"-Blm update linearitas, FC, u95 std 1412 uS/cm karena larutan blm dtg "
,,,,,Position :,,Position :,,Position :,,
,,,,,Date:,2024-04-03 00:00:00,Date:,,Date:,,
,9,Master Olah Data_Conductivity,2024-07-30 00:00:00,"Update linearitas, FC, u95 std 1412 uS/cm
Update recalibration 2024 TH 3 s/d 6
Update no IK latest revision (after reakreditasi 2024)",HN,,,,,,
,,,,,Position :,,Position :,,Position :,,
,,,,,Date:,2024-07-30 00:00:00,Date:,,Date:,,
,10,Master Olah Data_Conductivity,2024-10-29 00:00:00,"Update CMC baru hasil Reakreditasi
Update ketidakpastian Constant recalibration 2024",HN,,,,,,
,,,,,Position :,,Position :,,Position :,,
,,,,,Date:,2024-10-29 00:00:00,Date:,,Date:,,
,10,Master Olah Data_Conductivity,2025-04-28 00:00:00,Update Database (Recalibration 2025 TH 2),DR,,,,,,
,,,,,Position :,Data Analyst,Position :,,Position :,,
,,,,,Date:,2025-04-28 00:00:00,Date:,,Date:,,
,11,Master Olah Data_Conductivity,2025-05-23 00:00:00,Update Database U95% & Tgl kalibrasi PT100,NS,,,,,,
,,,,,Position :,Data Analyst,Position :,,Position :,,
,,,,,Date:,2025-05-23 00:00:00,Date:,,Date:,,
,12,Master Olah Data_Conductivity,2025-08-13 00:00:00,Update new larutan std conduct 25 uS dan 1412 uS (certified MRA/ISO 17034),DR,,,,,,
,,,,,Position :,Data Analyst,Position :,,Position :,,
,,,,,Date:,2025-08-13 00:00:00,Date:,,Date:,,
,13,Master Olah Data_Conductivity,2025-09-01 00:00:00,Change Standard Constant to Yokogawa,DR,,,,,,
,,,,,Position :,Data Analyst,Position :,,Position :,,
,,,,,Date:,2025-09-01 00:00:00,Date:,,Date:,,
,14,Master Olah Data_Conductivity,2025-09-10 00:00:00,Update new larutan std conduct 111 mS (certified MRA/ISO 17034),DR,,,,,,
,,,,,Position :,Data Analyst,Position :,,Position :,,
,,,,,Date:,2025-09-10 00:00:00,Date:,,Date:,,
,15,Master Olah Data_Conductivity,2025-11-26 00:00:00,"-Updating ""Database"" sheet:  TH-1, TH-2, TH-3, TH-4, TH-6 & TH-7. Change to Xiaomi",DR,,,,,,
,,,,,Position :,Data Analyst,Position :,,Position :,,
,,,,,Date:,2025-11-26 00:00:00,Date:,,Date:,,
,,,,,,,,,,,
,Notes:,,,,,,,,,,
,User Requirement,,,,,,,,,,
,1,Use Microsoft Office 2016 or higher versions for a better performance.,,,,,,,,,
,2,Enable excel with macro warnings.,,,,,,,,,
,3,Please Enable Developer Tab before using this master worksheet.,,,,,,,,,
,,How to enable Developer Tab:,,,,,,,,,
,,"*Click File-Options-Customize Ribbons- Check (√) ""Developer"" on Main Tabs-OK",,,,,,,,,
,4,Fill the raw data (calibration results) on INPUT DATA sheet.,,,,,,,,,
,,,,,,,,,,,
,Validation Rules,,,,,,,,,,
,1,Please fill existing format in this sheet with the detailed revision/change.,,,,,,,,,
,2,Write down the actual date and PIC/Checker/Validator name.,,,,,,,,,
,3,"Save as the new revision master's file in the same location without deleting the previous files, add it with the number of revision (example: Master Olah Data Suhu_Rev.1)",,,,,,,,,
