,50,,49.4,,49.5,,49.42,49.43,,49.4,,30,,,29.49,29.45,29.32,29.41,29.46,,,,,,,,,,
,70,,69.4,,69.5,,69.42,69.43,,69.4,,49,,,48.49,48.45,48.32,48.41,48.46,,,,,,,,,,
,90,,89.4,,89.5,,89.42,89.43,,89.4,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pembacaan UUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Set Poin
(%RH)",,Data Hasil Pengukuran/Pengulangan (%RH),,,,,,,,,"Set Poin
(%RH)",,,Data Hasil Pengukuran/Pengulangan (%RH),,,,,,,,,,,,,,
,,,X1,,X2,,X3,X4,,X5,,,,,X1,X2,X3,X4,X5,,,,,,,,,,
,50,,49,,49,,49,49,,49,,30,,,29,29,29,29,29,,,,,,,,,,
,70,,69,,69,,69,69,,69,,49,,,48,48,48,48,48,,,,,,,,,,
,90,,89,,89,,89,89,,89,,0,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Issuance Date,,:,2024-07-06T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
,Calculated by,,,Signed by,,,,,,,,,,,,,,,,,,,,,,,,,
,Name,:,3,Name,:,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
