,,,,50 [='INPUT DATA'!J32],,,,,,,,,50.92790025937759 [=PERHITUNGAN!J89],,,,,"0.9279002593775871 [=IF(ISERROR(N22-E22),"""",N22-E22)]",,,,,,,,,,,,,,,,,,,,,
,,,,100 [='INPUT DATA'!L32],,,,,,,,,99.63673552715461 [=PERHITUNGAN!L89],,,,,"-0.3632644728453869 [=IF(ISERROR(N23-E23),"""",N23-E23)]",,,,,,,,,,,,,,,,,,,,,
,,,,0 [='INPUT DATA'!N32],,,,,,,,,#VALUE! [=PERHITUNGAN!N89],,,,,#VALUE! [=N24-E24],,,,,,,,,,,,,,,,,,,,,
,,,,0 [='INPUT DATA'!P32],,,,,,,,,#VALUE! [=PERHITUNGAN!P89],,,,,#VALUE! [=N25-E25],,,,,,,,,,,,,,,,,,,,,
,,,,Uncertainty U95% = ±,,,,,,,,,,,,0.34 [='PERHITUNGAN U95%'!J50],,ml [=G11],,,,,,,,,,,,,,,,,,,,,
,,,,The uncertainty is taken at a convidence level 95 % and coverage factor (k) = ,,,,,,,,,,,,,,,,,2.007583770315835 [='PERHITUNGAN U95%'!I47],,,,,,,,,,,,,,,,,,
,,,,- Calibration results are not to be announced and only apply to related tools -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Standard used :,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Name,,,,,,Merk/Type :,,,,,,,,,Serial Number :,,,,,,Traceable to SI through : ,,,,,,,,,,,,,,,,,
,"Electronic Balance Precisa [=VLOOKUP('INPUT DATA'!$Q$24,Tabel_Standar,2,0)]",,,,,,"Precisa/- [=VLOOKUP('INPUT DATA'!$Q$24,Tabel_Standar,3,0)]",,,,,,,,,"4702102 [=VLOOKUP('INPUT DATA'!$Q$24,Tabel_Standar,4,0)]",,,,,,"LK-305-IDN [=VLOOKUP('INPUT DATA'!$Q$24,Tabel_Standar,5,0)]",,,,,,,,,,,,,,,,,
,Termometer & Sensor Std. [=DATABASE!V21],,,,,,Yokogawa/CA 150 Handy Cal [=DATABASE!W21],,,,,,,,,23P1005 [=DATABASE!X21],,,,,,LK-285-IDN [=DATABASE!Y21],,,,,,,,,,,,,,,,,
,Issuance Date :,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900-01-04 00:00:00 [=T9+4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alex Misramto [='INPUT DATA'!Y17],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Technical Manager [='INPUT DATA'!Y18],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,------------------ End of Certificate ------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SIDIK-FM-CAL-2403_Rev. 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
