,,,,"200.7852728972789 [=IF('PERHITUNGAN FC'!Z32="""","""",IF('INPUT DATA'!$G$15=""kN"",'PERHITUNGAN FC'!Z32/DATABASE!$S$20,IF('INPUT DATA'!$G$15=""N"",'PERHITUNGAN FC'!Z32/DATABASE!$S$21,IF('INPUT DATA'!$G$15=""lbf"",'PERHITUNGAN FC'!Z32/DATABASE!$S$22,IF('INPUT DATA'!$G$15=""kgf"",'PERHITUNGAN FC'!Z32/DATABASE!$S$23,IF('INPUT DATA'!$G$15=""tnf"",'PERHITUNGAN FC'!Z32/DATABASE!$S$24,""pilih satuan""))))))]",,,,,,,"200 [=IF('PERHITUNGAN FC'!B32="""","""",IF('INPUT DATA'!$G$15=""kN"",'PERHITUNGAN FC'!B32/DATABASE!$S$20,IF('INPUT DATA'!$G$15=""N"",'PERHITUNGAN FC'!B32/DATABASE!$S$21,IF('INPUT DATA'!$G$15=""lbf"",'PERHITUNGAN FC'!B32/DATABASE!$S$22,IF('INPUT DATA'!$G$15=""kgf"",'PERHITUNGAN FC'!B32/DATABASE!$S$23,IF('INPUT DATA'!$G$15=""tnf"",'PERHITUNGAN FC'!B32/DATABASE!$S$24,""pilih satuan""))))))]",,,,,"0.7852728972789009 [=IF(ISERROR(E23-L23),"""",E23-L23)]",,,,,0.0309999999999968 [='PERHITUNGAN FC'!AB32],,,,,,,,,,
,,,,"300.70213452561035 [=IF('PERHITUNGAN FC'!Z33="""","""",IF('INPUT DATA'!$G$15=""kN"",'PERHITUNGAN FC'!Z33/DATABASE!$S$20,IF('INPUT DATA'!$G$15=""N"",'PERHITUNGAN FC'!Z33/DATABASE!$S$21,IF('INPUT DATA'!$G$15=""lbf"",'PERHITUNGAN FC'!Z33/DATABASE!$S$22,IF('INPUT DATA'!$G$15=""kgf"",'PERHITUNGAN FC'!Z33/DATABASE!$S$23,IF('INPUT DATA'!$G$15=""tnf"",'PERHITUNGAN FC'!Z33/DATABASE!$S$24,""pilih satuan""))))))]",,,,,,,"300 [=IF('PERHITUNGAN FC'!B33="""","""",IF('INPUT DATA'!$G$15=""kN"",'PERHITUNGAN FC'!B33/DATABASE!$S$20,IF('INPUT DATA'!$G$15=""N"",'PERHITUNGAN FC'!B33/DATABASE!$S$21,IF('INPUT DATA'!$G$15=""lbf"",'PERHITUNGAN FC'!B33/DATABASE!$S$22,IF('INPUT DATA'!$G$15=""kgf"",'PERHITUNGAN FC'!B33/DATABASE!$S$23,IF('INPUT DATA'!$G$15=""tnf"",'PERHITUNGAN FC'!B33/DATABASE!$S$24,""pilih satuan""))))))]",,,,,"0.7021345256103473 [=IF(ISERROR(E24-L24),"""",E24-L24)]",,,,,0.033533333333324596 [='PERHITUNGAN FC'!AB33],,,,,,,,,,
,,,,"400.41035757182976 [=IF('PERHITUNGAN FC'!Z34="""","""",IF('INPUT DATA'!$G$15=""kN"",'PERHITUNGAN FC'!Z34/DATABASE!$S$20,IF('INPUT DATA'!$G$15=""N"",'PERHITUNGAN FC'!Z34/DATABASE!$S$21,IF('INPUT DATA'!$G$15=""lbf"",'PERHITUNGAN FC'!Z34/DATABASE!$S$22,IF('INPUT DATA'!$G$15=""kgf"",'PERHITUNGAN FC'!Z34/DATABASE!$S$23,IF('INPUT DATA'!$G$15=""tnf"",'PERHITUNGAN FC'!Z34/DATABASE!$S$24,""pilih satuan""))))))]",,,,,,,"400 [=IF('PERHITUNGAN FC'!B34="""","""",IF('INPUT DATA'!$G$15=""kN"",'PERHITUNGAN FC'!B34/DATABASE!$S$20,IF('INPUT DATA'!$G$15=""N"",'PERHITUNGAN FC'!B34/DATABASE!$S$21,IF('INPUT DATA'!$G$15=""lbf"",'PERHITUNGAN FC'!B34/DATABASE!$S$22,IF('INPUT DATA'!$G$15=""kgf"",'PERHITUNGAN FC'!B34/DATABASE!$S$23,IF('INPUT DATA'!$G$15=""tnf"",'PERHITUNGAN FC'!B34/DATABASE!$S$24,""pilih satuan""))))))]",,,,,"0.4103575718297634 [=IF(ISERROR(E25-L25),"""",E25-L25)]",,,,,0.00975000000001314 [='PERHITUNGAN FC'!AB34],,,,,,,,,,
,,,,"500.5508158311059 [=IF('PERHITUNGAN FC'!Z35="""","""",IF('INPUT DATA'!$G$15=""kN"",'PERHITUNGAN FC'!Z35/DATABASE!$S$20,IF('INPUT DATA'!$G$15=""N"",'PERHITUNGAN FC'!Z35/DATABASE!$S$21,IF('INPUT DATA'!$G$15=""lbf"",'PERHITUNGAN FC'!Z35/DATABASE!$S$22,IF('INPUT DATA'!$G$15=""kgf"",'PERHITUNGAN FC'!Z35/DATABASE!$S$23,IF('INPUT DATA'!$G$15=""tnf"",'PERHITUNGAN FC'!Z35/DATABASE!$S$24,""pilih satuan""))))))]",,,,,,,"500 [=IF('PERHITUNGAN FC'!B35="""","""",IF('INPUT DATA'!$G$15=""kN"",'PERHITUNGAN FC'!B35/DATABASE!$S$20,IF('INPUT DATA'!$G$15=""N"",'PERHITUNGAN FC'!B35/DATABASE!$S$21,IF('INPUT DATA'!$G$15=""lbf"",'PERHITUNGAN FC'!B35/DATABASE!$S$22,IF('INPUT DATA'!$G$15=""kgf"",'PERHITUNGAN FC'!B35/DATABASE!$S$23,IF('INPUT DATA'!$G$15=""tnf"",'PERHITUNGAN FC'!B35/DATABASE!$S$24,""pilih satuan""))))))]",,,,,"0.5508158311059219 [=IF(ISERROR(E26-L26),"""",E26-L26)]",,,,,0 [='PERHITUNGAN FC'!AB35],,,,,,,,,,
,,,,"[=IF('PERHITUNGAN FC'!Z36="""","""",IF('INPUT DATA'!$G$15=""kN"",'PERHITUNGAN FC'!Z36/DATABASE!$S$20,IF('INPUT DATA'!$G$15=""N"",'PERHITUNGAN FC'!Z36/DATABASE!$S$21,IF('INPUT DATA'!$G$15=""lbf"",'PERHITUNGAN FC'!Z36/DATABASE!$S$22,IF('INPUT DATA'!$G$15=""kgf"",'PERHITUNGAN FC'!Z36/DATABASE!$S$23,IF('INPUT DATA'!$G$15=""tnf"",'PERHITUNGAN FC'!Z36/DATABASE!$S$24,""pilih satuan""))))))]",,,,,,,"[=IF('PERHITUNGAN FC'!B36="""","""",IF('INPUT DATA'!$G$15=""kN"",'PERHITUNGAN FC'!B36/DATABASE!$S$20,IF('INPUT DATA'!$G$15=""N"",'PERHITUNGAN FC'!B36/DATABASE!$S$21,IF('INPUT DATA'!$G$15=""lbf"",'PERHITUNGAN FC'!B36/DATABASE!$S$22,IF('INPUT DATA'!$G$15=""kgf"",'PERHITUNGAN FC'!B36/DATABASE!$S$23,IF('INPUT DATA'!$G$15=""tnf"",'PERHITUNGAN FC'!B36/DATABASE!$S$24,""pilih satuan""))))))]",,,,,"[=IF(ISERROR(E27-L27),"""",E27-L27)]",,,,,[='PERHITUNGAN FC'!AB36],,,,,,,,,,
,,,,"[=IF('PERHITUNGAN FC'!Z37="""","""",IF('INPUT DATA'!$G$15=""kN"",'PERHITUNGAN FC'!Z37/DATABASE!$S$20,IF('INPUT DATA'!$G$15=""N"",'PERHITUNGAN FC'!Z37/DATABASE!$S$21,IF('INPUT DATA'!$G$15=""lbf"",'PERHITUNGAN FC'!Z37/DATABASE!$S$22,IF('INPUT DATA'!$G$15=""kgf"",'PERHITUNGAN FC'!Z37/DATABASE!$S$23,IF('INPUT DATA'!$G$15=""tnf"",'PERHITUNGAN FC'!Z37/DATABASE!$S$24,""pilih satuan""))))))]",,,,,,,"[=IF('PERHITUNGAN FC'!B37="""","""",IF('INPUT DATA'!$G$15=""kN"",'PERHITUNGAN FC'!B37/DATABASE!$S$20,IF('INPUT DATA'!$G$15=""N"",'PERHITUNGAN FC'!B37/DATABASE!$S$21,IF('INPUT DATA'!$G$15=""lbf"",'PERHITUNGAN FC'!B37/DATABASE!$S$22,IF('INPUT DATA'!$G$15=""kgf"",'PERHITUNGAN FC'!B37/DATABASE!$S$23,IF('INPUT DATA'!$G$15=""tnf"",'PERHITUNGAN FC'!B37/DATABASE!$S$24,""pilih satuan""))))))]",,,,,"[=IF(ISERROR(E28-L28),"""",E28-L28)]",,,,,[='PERHITUNGAN FC'!AB37],,,,,,,,,,
,,,,"[=IF('PERHITUNGAN FC'!Z38="""","""",IF('INPUT DATA'!$G$15=""kN"",'PERHITUNGAN FC'!Z38/DATABASE!$S$20,IF('INPUT DATA'!$G$15=""N"",'PERHITUNGAN FC'!Z38/DATABASE!$S$21,IF('INPUT DATA'!$G$15=""lbf"",'PERHITUNGAN FC'!Z38/DATABASE!$S$22,IF('INPUT DATA'!$G$15=""kgf"",'PERHITUNGAN FC'!Z38/DATABASE!$S$23,IF('INPUT DATA'!$G$15=""tnf"",'PERHITUNGAN FC'!Z38/DATABASE!$S$24,""pilih satuan""))))))]",,,,,,,"[=IF('PERHITUNGAN FC'!B38="""","""",IF('INPUT DATA'!$G$15=""kN"",'PERHITUNGAN FC'!B38/DATABASE!$S$20,IF('INPUT DATA'!$G$15=""N"",'PERHITUNGAN FC'!B38/DATABASE!$S$21,IF('INPUT DATA'!$G$15=""lbf"",'PERHITUNGAN FC'!B38/DATABASE!$S$22,IF('INPUT DATA'!$G$15=""kgf"",'PERHITUNGAN FC'!B38/DATABASE!$S$23,IF('INPUT DATA'!$G$15=""tnf"",'PERHITUNGAN FC'!B38/DATABASE!$S$24,""pilih satuan""))))))]",,,,,"[=IF(ISERROR(E29-L29),"""",E29-L29)]",,,,,[='PERHITUNGAN FC'!AB38],,,,,,,,,,
,,,,"[=IF('PERHITUNGAN FC'!Z39="""","""",IF('INPUT DATA'!$G$15=""kN"",'PERHITUNGAN FC'!Z39/DATABASE!$S$20,IF('INPUT DATA'!$G$15=""N"",'PERHITUNGAN FC'!Z39/DATABASE!$S$21,IF('INPUT DATA'!$G$15=""lbf"",'PERHITUNGAN FC'!Z39/DATABASE!$S$22,IF('INPUT DATA'!$G$15=""kgf"",'PERHITUNGAN FC'!Z39/DATABASE!$S$23,IF('INPUT DATA'!$G$15=""tnf"",'PERHITUNGAN FC'!Z39/DATABASE!$S$24,""pilih satuan""))))))]",,,,,,,"[=IF('PERHITUNGAN FC'!B39="""","""",IF('INPUT DATA'!$G$15=""kN"",'PERHITUNGAN FC'!B39/DATABASE!$S$20,IF('INPUT DATA'!$G$15=""N"",'PERHITUNGAN FC'!B39/DATABASE!$S$21,IF('INPUT DATA'!$G$15=""lbf"",'PERHITUNGAN FC'!B39/DATABASE!$S$22,IF('INPUT DATA'!$G$15=""kgf"",'PERHITUNGAN FC'!B39/DATABASE!$S$23,IF('INPUT DATA'!$G$15=""tnf"",'PERHITUNGAN FC'!B39/DATABASE!$S$24,""pilih satuan""))))))]",,,,,"[=IF(ISERROR(E30-L30),"""",E30-L30)]",,,,,[='PERHITUNGAN FC'!AB39],,,,,,,,,,
,,,,"[=IF('PERHITUNGAN FC'!Z40="""","""",IF('INPUT DATA'!$G$15=""kN"",'PERHITUNGAN FC'!Z40/DATABASE!$S$20,IF('INPUT DATA'!$G$15=""N"",'PERHITUNGAN FC'!Z40/DATABASE!$S$21,IF('INPUT DATA'!$G$15=""lbf"",'PERHITUNGAN FC'!Z40/DATABASE!$S$22,IF('INPUT DATA'!$G$15=""kgf"",'PERHITUNGAN FC'!Z40/DATABASE!$S$23,IF('INPUT DATA'!$G$15=""tnf"",'PERHITUNGAN FC'!Z40/DATABASE!$S$24,""pilih satuan""))))))]",,,,,,,"[=IF('PERHITUNGAN FC'!B40="""","""",IF('INPUT DATA'!$G$15=""kN"",'PERHITUNGAN FC'!B40/DATABASE!$S$20,IF('INPUT DATA'!$G$15=""N"",'PERHITUNGAN FC'!B40/DATABASE!$S$21,IF('INPUT DATA'!$G$15=""lbf"",'PERHITUNGAN FC'!B40/DATABASE!$S$22,IF('INPUT DATA'!$G$15=""kgf"",'PERHITUNGAN FC'!B40/DATABASE!$S$23,IF('INPUT DATA'!$G$15=""tnf"",'PERHITUNGAN FC'!B40/DATABASE!$S$24,""pilih satuan""))))))]",,,,,"[=IF(ISERROR(E31-L31),"""",E31-L31)]",,,,,[='PERHITUNGAN FC'!AB40],,,,,,,,,,
,,,,"[=IF('PERHITUNGAN FC'!Z41="""","""",IF('INPUT DATA'!$G$15=""kN"",'PERHITUNGAN FC'!Z41/DATABASE!$S$20,IF('INPUT DATA'!$G$15=""N"",'PERHITUNGAN FC'!Z41/DATABASE!$S$21,IF('INPUT DATA'!$G$15=""lbf"",'PERHITUNGAN FC'!Z41/DATABASE!$S$22,IF('INPUT DATA'!$G$15=""kgf"",'PERHITUNGAN FC'!Z41/DATABASE!$S$23,IF('INPUT DATA'!$G$15=""tnf"",'PERHITUNGAN FC'!Z41/DATABASE!$S$24,""pilih satuan""))))))]",,,,,,,"[=IF('PERHITUNGAN FC'!B41="""","""",IF('INPUT DATA'!$G$15=""kN"",'PERHITUNGAN FC'!B41/DATABASE!$S$20,IF('INPUT DATA'!$G$15=""N"",'PERHITUNGAN FC'!B41/DATABASE!$S$21,IF('INPUT DATA'!$G$15=""lbf"",'PERHITUNGAN FC'!B41/DATABASE!$S$22,IF('INPUT DATA'!$G$15=""kgf"",'PERHITUNGAN FC'!B41/DATABASE!$S$23,IF('INPUT DATA'!$G$15=""tnf"",'PERHITUNGAN FC'!B41/DATABASE!$S$24,""pilih satuan""))))))]",,,,,"[=IF(ISERROR(E32-L32),"""",E32-L32)]",,,,,[='PERHITUNGAN FC'!AB41],,,,,,,,,,
,,,,"[=IF('PERHITUNGAN FC'!Z42="""","""",IF('INPUT DATA'!$G$15=""kN"",'PERHITUNGAN FC'!Z42/DATABASE!$S$20,IF('INPUT DATA'!$G$15=""N"",'PERHITUNGAN FC'!Z42/DATABASE!$S$21,IF('INPUT DATA'!$G$15=""lbf"",'PERHITUNGAN FC'!Z42/DATABASE!$S$22,IF('INPUT DATA'!$G$15=""kgf"",'PERHITUNGAN FC'!Z42/DATABASE!$S$23,IF('INPUT DATA'!$G$15=""tnf"",'PERHITUNGAN FC'!Z42/DATABASE!$S$24,""pilih satuan""))))))]",,,,,,,"[=IF('PERHITUNGAN FC'!B42="""","""",IF('INPUT DATA'!$G$15=""kN"",'PERHITUNGAN FC'!B42/DATABASE!$S$20,IF('INPUT DATA'!$G$15=""N"",'PERHITUNGAN FC'!B42/DATABASE!$S$21,IF('INPUT DATA'!$G$15=""lbf"",'PERHITUNGAN FC'!B42/DATABASE!$S$22,IF('INPUT DATA'!$G$15=""kgf"",'PERHITUNGAN FC'!B42/DATABASE!$S$23,IF('INPUT DATA'!$G$15=""tnf"",'PERHITUNGAN FC'!B42/DATABASE!$S$24,""pilih satuan""))))))]",,,,,"[=IF(ISERROR(E33-L33),"""",E33-L33)]",,,,,[='PERHITUNGAN FC'!AB42],,,,,,,,,,
,,,,"[=IF('PERHITUNGAN FC'!Z43="""","""",IF('INPUT DATA'!$G$15=""kN"",'PERHITUNGAN FC'!Z43/DATABASE!$S$20,IF('INPUT DATA'!$G$15=""N"",'PERHITUNGAN FC'!Z43/DATABASE!$S$21,IF('INPUT DATA'!$G$15=""lbf"",'PERHITUNGAN FC'!Z43/DATABASE!$S$22,IF('INPUT DATA'!$G$15=""kgf"",'PERHITUNGAN FC'!Z43/DATABASE!$S$23,IF('INPUT DATA'!$G$15=""tnf"",'PERHITUNGAN FC'!Z43/DATABASE!$S$24,""pilih satuan""))))))]",,,,,,,"[=IF('PERHITUNGAN FC'!B43="""","""",IF('INPUT DATA'!$G$15=""kN"",'PERHITUNGAN FC'!B43/DATABASE!$S$20,IF('INPUT DATA'!$G$15=""N"",'PERHITUNGAN FC'!B43/DATABASE!$S$21,IF('INPUT DATA'!$G$15=""lbf"",'PERHITUNGAN FC'!B43/DATABASE!$S$22,IF('INPUT DATA'!$G$15=""kgf"",'PERHITUNGAN FC'!B43/DATABASE!$S$23,IF('INPUT DATA'!$G$15=""tnf"",'PERHITUNGAN FC'!B43/DATABASE!$S$24,""pilih satuan""))))))]",,,,,"[=IF(ISERROR(E34-L34),"""",E34-L34)]",,,,,[='PERHITUNGAN FC'!AB43],,,,,,,,,,
,,,,Uncertainty U95% =  ±,,,,,,,,,,,"2.1 [=IF('INPUT DATA'!$G$15=""kN"",'PERHITUNGAN U95%'!AC23/DATABASE!$S$20,IF('INPUT DATA'!$G$15=""N"",'PERHITUNGAN U95%'!AC23/DATABASE!$S$21,IF('INPUT DATA'!$G$15=""lbf"",'PERHITUNGAN U95%'!AC23/DATABASE!$S$22,IF('INPUT DATA'!$G$15=""kgf"",'PERHITUNGAN U95%'!AC23/DATABASE!$S$23,IF('INPUT DATA'!$G$15=""tnf"",'PERHITUNGAN U95%'!AC23/DATABASE!$S$24,""pilih satuan"")))))]",,,kgf [=H13],,,,,,,,,,,,,
,,,,The Uncertainty is taken at a Convidence Level 95 % and Coverage Factor (k) = ,,,,,,,,,,,,,,,1.9698562125960952 [='PERHITUNGAN U95%'!AC20],,,,,,,,,,,,
,,,,RRPE : Relative Repeatability Error,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Units Used:,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,kgf [=H13],,,:,"Kilogram-force [=VLOOKUP('INPUT DATA'!G14,Tabel_Satuan,4,0)]",,,,,,,,,,,,,,,,,,,,,,,
,,,, - Calibration results are not to be announced and only apply to related tools -,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Standard used :,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Name,,,,,,,,Merk/Type :,,,,,Serial Number :,,,,,,Traceable to SI through : ,,,,,,,,,,,
,Load Cell 5 kN [='INPUT DATA'!Z16],,,,,,,,"Usscell/STI-C3-500kg [=VLOOKUP('INPUT DATA'!Q23,Tabel_Standar,3,0)]",,,,,"LC-01-SDK [=VLOOKUP('INPUT DATA'!Q23,Tabel_Standar,4,0)]",,,,,,"LK-264-IDN [=VLOOKUP('INPUT DATA'!Q23,Tabel_Standar,5,0)]",,,,,,,,,,,
,Issuance Date   :,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-03-22 00:00:00 [=S11+4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alex Misramto [='INPUT DATA'!Z20],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Technical Manager [='INPUT DATA'!Z21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIDIK-FM-CAL-2403_Rev. 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
