,Thermohygro Used,,:,6,,,,,,,Standar Meter/Indikator,,,:,Temperature Recorder,,,EXPIRED,,,,,,,
,,,,,,,,,,,Standar Sensor,,,:,2,,,VALID,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,DATA HASIL KALIBRASI,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,DIMENSI ALAT,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Enclosure Rectangular,,,,,,Enclosure Silindris,,,,,,Enclosure Volume,,,,,,,,,,,,
,Panjang (P),,:,,m,,Jari-Jari (r),,:,,m,,Rectangular,:,,,,,,,,,,,
,Lebar (L),,:,,m,,Tinggi (T),,:,,m,,Volume,,0,m3,,,,,,,,,
,Tinggi (T),,:,,m,,π,,:,3.14,,,Silindris,:,,,,,,,,,,,
,,,,,,,,,,,,,Volume,,0,m3,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,CALIBRATION RESULT (SET POIN 1),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,"Set Point
(oC)",67,Data Hasil Pengukuran/Pengulangan (oC),,,,,,,,,,,,,,,,,,,,,,
,No. Thermocouple,,1,,2,,3,4,,5,Channel,,,,,,,,,,,,,,
,1,,66.8,,66.81,,66.82,66.81,,66.8,1,"*Sensor Acuan
selalu yg pertama",Note:,,,,,,,,,,,,
,2,,67.85,,67.82,,67.81,67.82,,67.82,2,,"If using Thermocouple Type N,
No. Thermocouple START FROM 3
For temp <0 oC, DON'T use Recorder",,,,,,,,,,,,
,3,,69.05,,69.04,,69.05,69.02,,69.02,3,,,,,,,,,,,,,,
,4,,68.15,,68.14,,68.13,68.14,,68.15,4,,,,,,,,,,,,,,
,5,,66.55,,66.52,,66.51,66.52,,66.5,5,,,,,,,,,,,,,,
,6,,67.45,,67.44,,67.43,67.42,,67.41,6,,,,,,,,,,,,,,
,7,,68.3,,68.31,,68.32,68.31,,68.32,7,,,,,,,,,,,,,,
,8,,67,,67.02,,67.02,67.01,,67.02,8,,,,,,,,,,,,,,
,9,,67.3,,67.31,,67.32,67.31,,67.32,9,,,,,,,,,,,,,,
,17,,,,,,,,,,10,,,,,,,,,,,,,,
,17,,,,,,,,,,11,,,,,,,,,,,,,,
,17,,,,,,,,,,12,,,,,,,,,,,,,,
,17,,,,,,,,,,13,,,,,,,,,,,,,,
,17,,,,,,,,,,14,,,,,,,,,,,,,,
,Indikator (oC),,67.3,,67.4,,67.4,67.3,,67.4,,,,,,,,,,,,,,,
,Suhu Ruang (oC),,24.6,,24.6,,24.5,24.5,,24.5,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,CALIBRATION RESULT (SET POIN 2),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,"Set Point
(oC)",67,Data Hasil Pengukuran/Pengulangan (oC),,,,,,,,,,,,,,,,,,,,,,
,No. Thermocouple,,1,,2,,3,4,,5,Channel,,,,,,,,,,,,,,
,1,,66.8,,66.81,,66.82,66.81,,66.8,1,"*Sensor Acuan
selalu yg pertama",Note:,,,,,,,,,,,,
,2,,67.85,,67.82,,67.81,67.82,,67.82,2,,"If using Thermocouple Type N,
No. Thermocouple START FROM 3
For temp <0 oC, DON'T use Recorder",,,,,,,,,,,,
,3,,69.05,,69.04,,69.05,69.02,,69.02,3,,,,,,,,,,,,,,
,4,,68.15,,68.14,,68.13,68.14,,68.15,4,,,,,,,,,,,,,,
,5,,66.55,,66.52,,66.51,66.52,,66.5,5,,,,,,,,,,,,,,
,6,,67.45,,67.44,,67.43,67.42,,67.41,6,,,,,,,,,,,,,,
,7,,68.3,,68.31,,68.32,68.31,,68.32,7,,,,,,,,,,,,,,
,8,,67,,67.02,,67.02,67.01,,67.02,8,,,,,,,,,,,,,,
,9,,67.3,,67.31,,67.32,67.31,,67.32,9,,,,,,,,,,,,,,
,17,,,,,,,,,,10,,,,,,,,,,,,,,
,17,,,,,,,,,,11,,,,,,,,,,,,,,
,0,,,,,,,,,,12,,,,,,,,,,,,,,
,17,,,,,,,,,,13,,,,,,,,,,,,,,
,17,,,,,,,,,,14,,,,,,,,,,,,,,
,Indikator (oC),,67.3,,67.4,,67.4,67.3,,67.4,,,,,,,,,,,,,,,
,Suhu Ruang (oC),,24.6,,24.6,,24.5,24.5,,24.5,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,CALIBRATION RESULT (SET POIN 3),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,"Set Point
(oC)",67,Data Hasil Pengukuran/Pengulangan (oC),,,,,,,,,,,,,,,,,,,,,,
,No. Thermocouple,,1,,2,,3,4,,5,Channel,,,,,,,,,,,,,,
,1,,66.8,,66.81,,66.82,66.81,,66.8,1,"*Sensor Acuan
selalu yg pertama",Note:,,,,,,,,,,,,
,2,,67.85,,67.82,,67.81,67.82,,67.82,2,,"If using Thermocouple Type N,
No. Thermocouple START FROM 3
For temp <0 oC, DON'T use Recorder",,,,,,,,,,,,
,3,,69.05,,69.04,,69.05,69.02,,69.02,3,,,,,,,,,,,,,,
,4,,68.15,,68.14,,68.13,68.14,,68.15,4,,,,,,,,,,,,,,
,5,,66.55,,66.52,,66.51,66.52,,66.5,5,,,,,,,,,,,,,,
,6,,67.45,,67.44,,67.43,67.42,,67.41,6,,,,,,,,,,,,,,
,7,,68.3,,68.31,,68.32,68.31,,68.32,7,,,,,,,,,,,,,,
,8,,67,,67.02,,67.02,67.01,,67.02,8,,,,,,,,,,,,,,
,9,,67.3,,67.31,,67.32,67.31,,67.32,9,,,,,,,,,,,,,,
,0,,,,,,,,,,10,,,,,,,,,,,,,,
,0,,,,,,,,,,11,,,,,,,,,,,,,,
,0,,,,,,,,,,12,,,,,,,,,,,,,,
,0,,,,,,,,,,13,,,,,,,,,,,,,,
,0,,,,,,,,,,14,,,,,,,,,,,,,,
,Indikator (oC),,67.3,,67.4,,67.4,67.3,,67.4,,,,,,,,,,,,,,,
,Suhu Ruang (oC),,24.6,,24.6,,24.5,24.5,,24.5,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Issuance Date,,:,2024-07-01T00:00:00,,,,,,,,,,,,,,,,,,,,,
,Calculated by,,,Signed by,,,,,,,,,,,,,,,,,,,,,
,Name,:,3,Name,:,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
