,Suhu Ruangan,,:,20.4 [='INPUT DATA'!E22],20.5 [='INPUT DATA'!F22],"20.45 [=IFERROR(AVERAGE(E15:F15),"""")]","20.1 [ARRAY:=INDEX(DATABASE!$C$31:$C$35,MATCH(MIN(ABS(DATABASE!$C$31:$C$35-G15)),ABS(DATABASE!$C$31:$C$35-G15),0))]","0.1 [=VLOOKUP(H15,Barometer_suhu,3,0)]",oC,,0.10000000000000142 [=ABS(F15-E15)],0.1 [=I15],1.2 [=DATABASE!F31],±,1.2041594578792296 [=SQRT(L15^2+N15^2)],oC,,,,,,,,,,,,,,,,,,,,
,Kelembaban,,:,56 [='INPUT DATA'!E23],55 [='INPUT DATA'!F23],"55.5 [=IFERROR(AVERAGE(E16:F16),"""")]","59.2 [ARRAY:=INDEX(DATABASE!$G$31:$G$35,MATCH(MIN(ABS(DATABASE!$G$31:$G$35-G16)),ABS(DATABASE!$G$31:$G$35-G16),0))]","-0.8 [=VLOOKUP(H16,Barometer_RH,3,0)]",%RH,,1 [=ABS(F16-E16)],-0.8 [=I16],3 [=DATABASE!J31],±,3.1622776601683795 [=SQRT(L16^2+N16^2)],%RH,,,,,,,,,,,,,,,,,,,,
,Thermohygro Used,,:,pilih TH [='INPUT DATA'!Y10],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tekanan udara,,,933.2 [='INPUT DATA'!E25],933.1 [='INPUT DATA'!F25],"933.1500000000001 [=IFERROR(AVERAGE(E18:F18),"""")]","931 [ARRAY:=INDEX(DATABASE!$K$31:$K$39,MATCH(MIN(ABS(DATABASE!$K$31:$K$39-G17)),ABS(DATABASE!$K$31:$K$39-G17),0))]","1 [=VLOOKUP(H18,Barometer_Tekanan,3,0)]",hPa,,0.10000000000002274 [=ABS(F18-E18)],1 [=I18],2 [=DATABASE!N31],±,2.0024984394500795 [=SQRT(L18^2+N18^2)],hPa [=J18],,,,,,,,,,,,,,,,,,,,
PERHITUNGAN HASIL KALIBRASI,,,,,,,,,,,,,,,,,,,,Massa hydrometer diudara =,,,,,,,,54.2144 [='INPUT DATA'!E32],g,,,,,,,
,,,,,,,,,,,,,,,,,,,,Massa hydrometer dicairan =,,,,,,,,each cell,,,,,,,,
,1. Pre Condition,,,,,,,,,,,,,,,,,,,1. Penentuan nilai faktor koreksi densitas cairan terhadap perubahan tekanan,,,,,,,,,,,,,,,,
,,Sl,:,0 [='INPUT DATA'!E31],g,,,(Beban Tambahan),,,,D,: (Diameter Stem),,,,,,,,,,,,,,,,,,Versi 2,,,,,
,,Ma,:,54.2144 [='INPUT DATA'!E32],g,,,(Massa Hydrometer diudara),,,,D stem,1,2,3,AVERAGE,,,,,,,,,,,,,,,,,,,,
,,yx,:,75 [='INPUT DATA'!E33],mN/m [='INPUT DATA'!Y13],"75 [=IF($F$26="""","""",IF($F$26=""dyne/cm"",E26*DATABASE!W29,IF($F$26=""mN/m"",E26*DATABASE!W30,IF($F$26=""N/m"",E26*DATABASE!W31,""pilih satuan""))))]",dyne/cm,(Tegangan Permukaan Hydrometer),,,,cm,0.615 [='INPUT DATA'!L33],0.615 [='INPUT DATA'!M33],0.615 [='INPUT DATA'!N33],0.615 [=AVERAGE(N26:P26)],,,,,,,,,,,,,,,,,,,,
,,tr,:,20 [='INPUT DATA'!E34],oC,,,(Suhu Acuan Hydrometer),,,,Max,0.615 [=MAX(N26:P26)],Min,0.615 [=MIN(N26:P26)],,,,,,= [=],Isothermal compressibility coefficient of the fluid (1/Pa),,,,,,2.5e-11 [=2.5/100000000000],Versi.1,,,,,,,
,,Px,:,1013.25 [='INPUT DATA'!E35*10],hPa,,,(Suhu Acuan Hydrometer),,,,,,,,,,,,,= [=],Tekanan aktual (hPa),,,,,,933.1500000000001 [=G18],Tekanan air dalam beaker glass dg disc temp. standar,,,,,,,
,,,,,,,,,,,,,,,,,,,,,= [=],Tekanan acuan (hPa),,,,,,1013.25 [=101.325*10],,,,,,,,
,2. Measurement,,,*All data are converted to gr/ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,= [=],,,,,,,1.0000000020025 [=1-(AC27*(AC28-AC29))],,,,,,,,
,,Weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Point of Calibration,,,g/ml [=H8],"1.8 [=IF('INPUT DATA'!G40="""","""",IF('INPUT DATA'!$G$15=""g/ml"",'INPUT DATA'!G40*DATABASE!$W$20,IF('INPUT DATA'!$G$15=""kg/m3"",'INPUT DATA'!G40*DATABASE!$W$21,""pilih satuan"")))]","1.9 [=IF('INPUT DATA'!H40="""","""",IF('INPUT DATA'!$G$15=""g/ml"",'INPUT DATA'!H40*DATABASE!$W$20,IF('INPUT DATA'!$G$15=""kg/m3"",'INPUT DATA'!H40*DATABASE!$W$21,""pilih satuan"")))]","2 [=IF('INPUT DATA'!I40="""","""",IF('INPUT DATA'!$G$15=""g/ml"",'INPUT DATA'!I40*DATABASE!$W$20,IF('INPUT DATA'!$G$15=""kg/m3"",'INPUT DATA'!I40*DATABASE!$W$21,""pilih satuan"")))]","[=IF('INPUT DATA'!J40="""","""",IF('INPUT DATA'!$G$15=""g/ml"",'INPUT DATA'!J40*DATABASE!$W$20,IF('INPUT DATA'!$G$15=""kg/m3"",'INPUT DATA'!J40*DATABASE!$W$21,""pilih satuan"")))]","[=IF('INPUT DATA'!K40="""","""",IF('INPUT DATA'!$G$15=""g/ml"",'INPUT DATA'!K40*DATABASE!$W$20,IF('INPUT DATA'!$G$15=""kg/m3"",'INPUT DATA'!K40*DATABASE!$W$21,""pilih satuan"")))]",,,,,,,,,,2. Penentuan nilai faktor koreksi densitas cairan terhadap perubahan suhu,,,,,,,,,,,,,,,,
,,Weight of Hydrometer (g),,,,24.1957 [='INPUT DATA'!G41],25.7667 [='INPUT DATA'!H41],27.1826 [='INPUT DATA'!I41],0 [='INPUT DATA'!J41],0 [='INPUT DATA'!K41],,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,24.1985 [='INPUT DATA'!G42],25.7658 [='INPUT DATA'!H42],27.1814 [='INPUT DATA'!I42],0 [='INPUT DATA'!J42],0 [='INPUT DATA'!K42],,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,24.1929 [='INPUT DATA'!G43],25.7685 [='INPUT DATA'!H43],27.1837 [='INPUT DATA'!I43],0 [='INPUT DATA'!J43],0 [='INPUT DATA'!K43],,,,,,,,,,,,,,,,,,,,,,,,,,
,,AVERAGE,,,,24.1957 [=AVERAGE(G34:G36)],25.767 [=AVERAGE(H34:H36)],27.18256666666667 [=AVERAGE(I34:I36)],0 [=AVERAGE(J34:J36)],0 [=AVERAGE(K34:K36)],,,,,,,,,,α,= [=],koefisien ekspansi volumetrik bahan (1/oC),,,,,,1e-05 [=J85],Koefisien muai bahan hydrometer,,,,,,,
,,,,,,,,,,,,,,,,,,,,,= [=],Suhu aktual (oC),,,,,,20.4 [='PERHITUNGAN (2)'!G42],suhu aktual cairan media kalibrasi,,,,,,,
,,Corrected Value (g),,,,,,,,,,,,,,,,,,,= [=],Suhu acuan (oC),,,,,,20 [=E10],"   tref : 20 atau 27.5, atau 15 sesuai informasi suhu acuan yg tertera pada alat",,,,,,,
,,Point of Calibration,,,g/ml [=F33],1.8 [=G33],1.9 [=H33],2 [=I33],[=J33],[=K33],,,,,,,,,,,,,,,,,,,,,,,,,,
,,Weight of Hydrometer (g),,,,24.192168121363895 [=((G34-$AE$86)*(1-($J$80/$AE$87)))-$AE$88-($AE$89-$AE$90)],25.76295178438647 [=((H34-$AE$86)*(1-($J$80/$AE$87)))-$AE$88-($AE$89-$AE$90)],27.178656805693706 [=((I34-$AE$86)*(1-($J$80/$AE$87)))-$AE$88-($AE$89-$AE$90)],-0.0001999724586916071 [=((J34-$AE$86)*(1-($J$80/$AE$87)))-$AE$88-($AE$89-$AE$90)],-0.0001999724586916071 [=((K34-$AE$86)*(1-($J$80/$AE$87)))-$AE$88-($AE$89-$AE$90)],,,,,,,,,,,= [=],,,,,,,1.000004 [=1+(AC37*(AC38-AC39))],,,,,,,,
,,,,,,24.19496773578558 [=((G35-$AE$86)*(1-($J$80/$AE$87)))-$AE$88-($AE$89-$AE$90)],25.76205190832236 [=((H35-$AE$86)*(1-($J$80/$AE$87)))-$AE$88-($AE$89-$AE$90)],27.177456970941552 [=((I35-$AE$86)*(1-($J$80/$AE$87)))-$AE$88-($AE$89-$AE$90)],-0.0001999724586916071 [=((J35-$AE$86)*(1-($J$80/$AE$87)))-$AE$88-($AE$89-$AE$90)],-0.0001999724586916071 [=((K35-$AE$86)*(1-($J$80/$AE$87)))-$AE$88-($AE$89-$AE$90)],,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,24.189368506942216 [=((G36-$AE$86)*(1-($J$80/$AE$87)))-$AE$88-($AE$89-$AE$90)],25.764751536514694 [=((H36-$AE$86)*(1-($J$80/$AE$87)))-$AE$88-($AE$89-$AE$90)],27.179756654216508 [=((I36-$AE$86)*(1-($J$80/$AE$87)))-$AE$88-($AE$89-$AE$90)],-0.0001999724586916071 [=((J36-$AE$86)*(1-($J$80/$AE$87)))-$AE$88-($AE$89-$AE$90)],-0.0001999724586916071 [=((K36-$AE$86)*(1-($J$80/$AE$87)))-$AE$88-($AE$89-$AE$90)],,,,,,,,,,3. Penentuan Densitas Air (media kalibrasi),,,,,,,,,,,,,,,,
,,AVERAGE,,,,24.192168121363895 [=AVERAGE(G41:G43)],25.763251743074505 [=AVERAGE(H41:H43)],27.178623476950587 [=AVERAGE(I41:I43)],-0.0001999724586916071 [=AVERAGE(J41:J43)],-0.0001999724586916071 [=AVERAGE(K41:K43)],,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dari tabel densitas air vs suhu,,,,,
,,Temperature ,,,,,,,,,,,,,,,,,,,= [=],densitas cairan referensi pada kondisi suhu T dan tekanan P standar (g/cm3),,,,,,,,0.9981184511248792 [=G59],,,,,,
,,Point of Calibration,,,g/ml [=F33],1.8 [=G33],1.9 [=H33],2 [=I33],[=J33],[=K33],,,,,,,,,,,= [=],kesalahan densitas karena (kurangnya) stabilitas nilai densitas referensi (g/cm3),,,,,,,,0.0002,,,,,,
,,Temperature (°C),,,,"20.4 [=IF('INPUT DATA'!G47="""","""",'INPUT DATA'!G47)]","20.4 [=IF('INPUT DATA'!H47="""","""",'INPUT DATA'!H47)]","20.4 [=IF('INPUT DATA'!I47="""","""",'INPUT DATA'!I47)]","[=IF('INPUT DATA'!J47="""","""",'INPUT DATA'!J47)]","[=IF('INPUT DATA'!K47="""","""",'INPUT DATA'!K47)]",,,,,,,,,,,= [=],,,,,,,,,0.9979144606657688 [=(AE47/AC41*AC31)-AE48],,,,,,
,,,,,,"20.4 [=IF('INPUT DATA'!G48="""","""",'INPUT DATA'!G48)]","20.4 [=IF('INPUT DATA'!H48="""","""",'INPUT DATA'!H48)]","20.4 [=IF('INPUT DATA'!I48="""","""",'INPUT DATA'!I48)]","[=IF('INPUT DATA'!J48="""","""",'INPUT DATA'!J48)]","[=IF('INPUT DATA'!K48="""","""",'INPUT DATA'!K48)]",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"20.4 [=IF('INPUT DATA'!G49="""","""",'INPUT DATA'!G49)]","20.4 [=IF('INPUT DATA'!H49="""","""",'INPUT DATA'!H49)]","20.4 [=IF('INPUT DATA'!I49="""","""",'INPUT DATA'!I49)]","[=IF('INPUT DATA'!J49="""","""",'INPUT DATA'!J49)]","[=IF('INPUT DATA'!K49="""","""",'INPUT DATA'!K49)]",T max,Tmin,,,,,,,,4. Penentuan nilai ,,,πDɣxg-1 dan πDɣLg-1 ,,,,,,,,,,,,,
,,AVERAGE,,,,"20.4 [=IFERROR(AVERAGE(G49:G51),"""")]","20.4 [=IFERROR(AVERAGE(H49:H51),"""")]","20.4 [=IFERROR(AVERAGE(I49:I51),"""")]","[=IFERROR(AVERAGE(J49:J51),"""")]","[=IFERROR(AVERAGE(K49:K51),"""")]",20.4 [=MAX(G52:K52)],20.4 [=MIN(G52:K52)],,,,,,,,π,= [=],Phi ,,,,,,3.14,Ketetapan,,,,,,,
,,,,,,72.6892 [='Tabel Surface Tension'!B9],72.6892 [='Tabel Surface Tension'!B10],72.6892 [='Tabel Surface Tension'!B11],"[=IFERROR('Tabel Surface Tension'!B12,"""")]","[=IFERROR('Tabel Surface Tension'!B13,"""")]",72.6892 [=MAX(G53:K53)],72.6892 [=MIN(G53:K53)],,,,,,,,D,= [=],Diameter stem hydrometer (cm),,,,,,0.615 [='PERHITUNGAN (2)'!Q26],nilai ukuran D stem,,,,,,,
,,Density,,,,,,,,,,,,,,,,,,,= [=],Tegangan permukaan hydrometer yg dikalibrasi (dyne/cm),,,,,,75 [=R82],TP pada spesifikasi alat hydrometer,,,,,,,
,,Point of Calibration,,,g/ml [=F33],1.8 [=G33],1.9 [=H33],2 [=I33],[=J33],[=K33],,,,,,,,,,,= [=],Tegangan permukaan cairan (dyne/cm),,,,,,72.6892 [=G53],Tabel TP vs Suhu,,,,,,,
,,Density (g/ml),,,,0.9981184511248793 [=((999.8395639+(0.0679829989*G49)+(-0.009106025564*G49^2)+(0.0001005272999*G49^3)+(-0.000001126713526*G49^4)+(0.000000006591795606*G49^5))/1000)],0.9981184511248793 [=((999.8395639+(0.0679829989*H49)+(-0.009106025564*H49^2)+(0.0001005272999*H49^3)+(-0.000001126713526*H49^4)+(0.000000006591795606*H49^5))/1000)],0.9981184511248793 [=((999.8395639+(0.0679829989*I49)+(-0.009106025564*I49^2)+(0.0001005272999*I49^3)+(-0.000001126713526*I49^4)+(0.000000006591795606*I49^5))/1000)],#VALUE! [=((999.8395639+(0.0679829989*J49)+(-0.009106025564*J49^2)+(0.0001005272999*J49^3)+(-0.000001126713526*J49^4)+(0.000000006591795606*J49^5))/1000)],#VALUE! [=((999.8395639+(0.0679829989*K49)+(-0.009106025564*K49^2)+(0.0001005272999*K49^3)+(-0.000001126713526*K49^4)+(0.000000006591795606*K49^5))/1000)],,,,,,,,,,,= [=],Gaya gravitasi (cms-2),,,,,,980.665 [=J92],Percepatan gravitasi bumi,,,,,,,
,,,,,,0.9981184511248793 [=((999.8395639+(0.0679829989*G50)+(-0.009106025564*G50^2)+(0.0001005272999*G50^3)+(-0.000001126713526*G50^4)+(0.000000006591795606*G50^5))/1000)],0.9981184511248793 [=((999.8395639+(0.0679829989*H50)+(-0.009106025564*H50^2)+(0.0001005272999*H50^3)+(-0.000001126713526*H50^4)+(0.000000006591795606*H50^5))/1000)],0.9981184511248793 [=((999.8395639+(0.0679829989*I50)+(-0.009106025564*I50^2)+(0.0001005272999*I50^3)+(-0.000001126713526*I50^4)+(0.000000006591795606*I50^5))/1000)],#VALUE! [=((999.8395639+(0.0679829989*J50)+(-0.009106025564*J50^2)+(0.0001005272999*J50^3)+(-0.000001126713526*J50^4)+(0.000000006591795606*J50^5))/1000)],#VALUE! [=((999.8395639+(0.0679829989*K50)+(-0.009106025564*K50^2)+(0.0001005272999*K50^3)+(-0.000001126713526*K50^4)+(0.000000006591795606*K50^5))/1000)],,,,,,,,,,πDɣxg-1,= [=],,,,,,,0.14768804841612582 [=M76],,,,,,,,
,,,,,,0.9981184511248793 [=((999.8395639+(0.0679829989*G51)+(-0.009106025564*G51^2)+(0.0001005272999*G51^3)+(-0.000001126713526*G51^4)+(0.000000006591795606*G51^5))/1000)],0.9981184511248793 [=((999.8395639+(0.0679829989*H51)+(-0.009106025564*H51^2)+(0.0001005272999*H51^3)+(-0.000001126713526*H51^4)+(0.000000006591795606*H51^5))/1000)],0.9981184511248793 [=((999.8395639+(0.0679829989*I51)+(-0.009106025564*I51^2)+(0.0001005272999*I51^3)+(-0.000001126713526*I51^4)+(0.000000006591795606*I51^5))/1000)],#VALUE! [=((999.8395639+(0.0679829989*J51)+(-0.009106025564*J51^2)+(0.0001005272999*J51^3)+(-0.000001126713526*J51^4)+(0.000000006591795606*J51^5))/1000)],#VALUE! [=((999.8395639+(0.0679829989*K51)+(-0.009106025564*K51^2)+(0.0001005272999*K51^3)+(-0.000001126713526*K51^4)+(0.000000006591795606*K51^5))/1000)],Max. Density,,,,,,,,, πDɣLg-1 ,= [=],,,,,,,0.14313768118572603 [=M77],,,,,,,,
,,AVERAGE,,,,"0.9981184511248792 [=IFERROR(AVERAGE(G56:G58),"""")]","0.9981184511248792 [=IFERROR(AVERAGE(H56:H58),"""")]","0.9981184511248792 [=IFERROR(AVERAGE(I56:I58),"""")]","[=IFERROR(AVERAGE(J56:J58),"""")]","[=IFERROR(AVERAGE(K56:K58),"""")]",0.9981184511248792 [=MAX(G59:K59)],g/ml,,,,,,,,,,,,,,,,,,,,,,,,
,,Density Corrected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Point of Calibration,,,g/ml [=F40],1.8 [=G40],1.9 [=H40],2 [=I40],[=J40],[=K40],,,,,,,,,,,,,,,,,,,,,,,,,,
,,Density (g/ml),,,,0.9979144566683206 [=((G56/($J$90*$J$87))-$J$89)],0.9979144566683206 [=((H56/($J$90*$J$87))-$J$89)],0.9979144566683206 [=((I56/($J$90*$J$87))-$J$89)],#VALUE! [=((J56/($J$90*$J$87))-$J$89)],#VALUE! [=((K56/($J$90*$J$87))-$J$89)],,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0.9979144566683206 [=((G57/($J$90*$J$87))-$J$89)],0.9979144566683206 [=((H57/($J$90*$J$87))-$J$89)],0.9979144566683206 [=((I57/($J$90*$J$87))-$J$89)],#VALUE! [=((J57/($J$90*$J$87))-$J$89)],#VALUE! [=((K57/($J$90*$J$87))-$J$89)],,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0.9979144566683206 [=((G58/($J$90*$J$87))-$J$89)],0.9979144566683206 [=((H58/($J$90*$J$87))-$J$89)],0.9979144566683206 [=((I58/($J$90*$J$87))-$J$89)],#VALUE! [=((J58/($J$90*$J$87))-$J$89)],#VALUE! [=((K58/($J$90*$J$87))-$J$89)],Max. Density,,,,,,,,,,,,,,,,,,,,,,,,,
,,AVERAGE,,,,"0.9979144566683206 [=IFERROR(AVERAGE(G63:G65),"""")]","0.9979144566683206 [=IFERROR(AVERAGE(H63:H65),"""")]","0.9979144566683206 [=IFERROR(AVERAGE(I63:I65),"""")]","[=IFERROR(AVERAGE(J63:J65),"""")]","[=IFERROR(AVERAGE(K63:K65),"""")]",0.9979144566683206 [=MAX(G66:K66)],g/ml,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5. Penentuan nilai faktor koreksi densitas udara terhadap perubahan suhu,,,,,,,,,,,,,,,,
,,Nilai densitas hidrometer yang dikalibrasi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,α,= [=],koefisien ekspansi volumetrik bahan (1/oC),,,,,,1e-05 [=AC37],Keofisien muai bahan (tabel),,,,,,,
,,,,,,,,,,,πDyxg-1,0.14768804841612582 [=($J$91*$R$81*$R$82)/$J$92],,,,,,,,,= [=],Suhu aktual (oC),,,,,,20.4 [=G52],Suhu aktual udara lingkungan,,,,,,,
,,,,,,,,,,,πDylg-1,0.14313768118572603 [=($J$91*$R$81*$L$53)/$J$92],,,,,,,,,= [=],Suhu acuan (oC),,,,,,20 [=E10],Suhu acuan udara lingkungan,,,,,,,
,,Data acuan,,:,,,,,,,,,,,,,,,,,= [=],Densitas udara (g/cm3),,,,,,1.1016523357163883 [=((0.34848*$G$18)-(0.009*$G$16)*EXP(0.061*$G$15))/($G$15+273.15)],Ketetapan,,,,,,,
,,Tetapan-tetapan,,,,,,,,,Variabel hidrometer,,,,,,,,,,= [=],,,,,,,1.000004 [=1+(AC75*(AC76-AC77))],,,,,,,,
,,,:,densitas udara saat timbang di udara,,,,,0.0011016523357163883 [=((0.34848*$G$18)-(0.009*$G$16)*EXP(0.061*$G$15))/($G$15+273.15)/1000],,,:,massa konvensional hidrometer saat timbang di udara,,,,54.20673434999262 [=J82],g,,,,,,,,,,,,,,,,,,
,,,:,densitas cairan saat penimbangan,,,,,0.9979144606657688 [=AE49],,,:,diameter stem hidrometer,,,,0.615 [=Q26],cm,,6. Penentuan nilai Massa hydrometer terkoreksi,,,,,,,,,,,,,,,,
,,,:,massa hydrometer saat ditimbang di udara,,,,,54.20673434999262 [=(($E$25-$AE$86)*(1-($J$80/$AE$87)))-$AE$88-($AE$89-$AE$90)],,,:,surface tension untuk hidrometer yang akan dikalibrasi,,,,75 [=G26],dyne/cm,,,,,,,,,,,,,,,,,,
,,,:,massa konvensional hidrometer saat timbangan di cairan acuan,,,,,each cell,,,:,massa konvensional dari beban tambahan di cairan acuan,,,,0 [=E24],g,,,,,,,,,,,,,,,,,,
,,,:,"densitas cairan pada kondisi referensi, pada suhu T dan tekanan P",,,,,0.9981184511248792 [=AE47],,,:,suhu acuan hidrometer,,,,20 [=E27],oC,,,,,,,,,,,,,,,,,,
,,,:,koefisien ekspansi volumetrik bahan,,,,,1e-05,,,,,,,,,,,,= [=],rata-rata pembacaan penimbangan hydrometer,,,,,,,,each cell,,,,,,
,,,:,"faktor koreksi suhu, tanpa pengaruh dimensi",,,,,1.000004 [=AC79],,,,,,,,,,,,= [=],kesalahan indikasi alat timbang yang telah dikalibrasi,,,,,,,,0.0002,percobaan penimbangan AT 100 gram beberapa kali pada kondisi yang sama,,,,,
,,,:,faktor koreksi densitas dari referensi bahan akibat perubahan tekanan,,,,,1.0000000020025 [=AC31],,,,,,,,,,,,= [=],densitas konvensional beban standar,,,,,,,,8,g/ml,,,,,
,,,:,isothermal compressibility coefficient of the fluid,,,,,2.5e-11 [=2.5/100000000000],,,,,,,,,,,,= [=],kesalahan karena resolusi terbatas alat timbang dengan hidrometer yang digantung,,,,,,,,0,,,,,,
,,,:,kesalahan densitas karena (kurangnya) stabilitas nilai densitas referensi (g/cm3),,,,,0.0002,,,,,,,,,,,,= [=],"indikasi alat timbang tanpa beban, jika alat timbang di Tare sebelum meletakkan beban",,,,,,,,0,,,,,,
,,,:,"faktor koreksi cairan, tanpa pengaruh dimensi",,,,,1.000004 [=AC41],,,,,,,,,,,,= [=],Kesalahan karena resolusi terbatas alat timbang tanpa beban,,,,,,,,0,,,,,,
,,,:,phi,,,,,3.14,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,:,percepatan gravitasi,,,,,980.665 [=9.80665*100],cm/s2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Data Olahan,,: *diambil di cell masing-masing skala pengukuran (point of calibration),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,:,densitas cairan acuan (g/ml),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,:,massa konvensional hidrometer saat timbangan di cairan acuan (g),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,:,suhu cairan acuan saat kalibrasi hidrometer (oC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hasil Densitas Hidrometer yang dikalibrasi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Point of Calibration,,,g/ml [=F33],1.8 [=G33],1.9 [=H33],2 [=I33],[=J33],[=K33],,,,,,,,,,,,,,,,,,,,,,,,,,
,,Density (g/ml),,,,1.7977039811633482 [=(((G63*$J$90)-($J$80*$J$86))*(($J$82+$M$76)/($J$82-G41+$M$77))+($J$80*$J$86))],1.8964230301474945 [=(((H63*$J$90)-($J$80*$J$86))*(($J$82+$M$76)/($J$82-H41+$M$77))+($J$80*$J$86))],1.9951751824915664 [=(((I63*$J$90)-($J$80*$J$86))*(($J$82+$M$76)/($J$82-I41+$M$77))+($J$80*$J$86))],#VALUE! [=(((J63*$J$90)-($J$80*$J$86))*(($J$82+$M$76)/($J$82-J41+$M$77))+($J$80*$J$86))],#VALUE! [=(((K63*$J$90)-($J$80*$J$86))*(($J$82+$M$76)/($J$82-K41+$M$77))+($J$80*$J$86))],,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1.797870779695627 [=(((G64*$J$90)-($J$80*$J$86))*(($J$82+$M$76)/($J$82-G42+$M$77))+($J$80*$J$86))],1.8963633699729725 [=(((H64*$J$90)-($J$80*$J$86))*(($J$82+$M$76)/($J$82-H42+$M$77))+($J$80*$J$86))],1.9950871314769896 [=(((I64*$J$90)-($J$80*$J$86))*(($J$82+$M$76)/($J$82-I42+$M$77))+($J$80*$J$86))],#VALUE! [=(((J64*$J$90)-($J$80*$J$86))*(($J$82+$M$76)/($J$82-J42+$M$77))+($J$80*$J$86))],#VALUE! [=(((K64*$J$90)-($J$80*$J$86))*(($J$82+$M$76)/($J$82-K42+$M$77))+($J$80*$J$86))],,,,,,,,,,,,,,,,,,,,,,,,,,
