,,,2,2.0000192,1.920000000010802e-05,0.0036,,,,,,E2,10,10.000075,7.500000000071338e-05,0.0059,0.00295,
,,,2*,2.0000185,1.8499999999921357e-05,0.0036,,,,,,E2,20,20.0000948,9.479999999939537e-05,0.0071,0.00355,
,,,5,5.0000284,2.8399999999706438e-05,0.0046,,,,,,E2,20*,20.0000812,8.120000000033656e-05,0.0071,0.00355,
,,,10,10.000075,7.500000000071338e-05,0.0059,,,,,,E2,50,50.000212,0.0002119999999976585,0.011,0.0055,
,,,20,20.0000948,9.479999999939537e-05,0.0071,,,,,,E2,100,100.000144,0.00014400000000591717,0.023,0.0115,
,,,20*,20.0000812,8.120000000033656e-05,0.0071,,,,,,E2,200,200.000149,0.00014899999999329339,0.03,0.015,
,,,50,50.000212,0.0002119999999976585,0.011,,,,,,E2,200*,200.000104,0.00010399999999322063,0.03,0.015,
,,,100,100.000144,0.00014400000000591717,0.023,,,,,,E2,500,500.00051,0.0005100000000197724,0.07,0.035,
,,,200,200.000149,0.00014899999999329339,0.03,,,,,,E2,1000,1000.00053,0.0005300000000261207,0.28,0.14,
,,,200*,200.000104,0.00010399999999322063,0.03,,,,,,F1,2000,2000.00437,0.004370000000108121,0.34,0.17,
,,,,,,,,,,,,F1,5000,5000.01,0.010000000000218279,0.7,0.35,
,,,,,,,,,,,,F1,10000,10000.007,0.006999999999607098,15,2.3094010767038933,
,Nama Alat,:,Anak Timbangan,,,Tanggal Kalibrasi ,,:,2026-01-13T00:00:00,,,F1,20000,20000.0275,0.02750000000014552,8.1,4.05,
,Kapasitas,:,500 g,,,Due Date Kalibrasi,,:,2029-01-13T00:00:00,,,,,,,,,
,Type,:,E2,,,Tertelusur,,:,LK-045-IDN,,,,,,,,,
,S/N,:,100636,,,No. Sertif,,:,0221/25/KAL/01/2026,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,Massa Nominal,Massa Konvensional,Koreksi AT,Ketidakpastian,,,,,,,,,,,,
,,,g,g,g,mg,,,,,,,,,,,,
,,,500,500.00051,0.0005100000000197724,0.07,,,,,,LATEST RECORD DRIFT of WEIGHING,,,,,,
,,,,,,,,,,,,No,Max Index Standar (g),Kelompok Standar ,Udrift (g),,,
,Nama Alat,:,Anak Timbangan,,,Tanggal Kalibrasi ,,:,2026-02-23T00:00:00,,,1,200,E2 0.1-200 g,0,,,
,Kapasitas,:,1 kg,,,Due Date Kalibrasi,,:,2029-02-23T00:00:00,,,2,500,E2 500 g,0,,,
,Type,:,E2,,,Tertelusur,,:,LK-045-IDN,,,3,1000,E2 1000 g,0,,,
,S/N,:,120015,,,No. Sertif,,:,,,,4,2000,F1 2 kg,0,,,
,,,,,,,,,,,,5,5000,F1 5 kg,0,,,
,,,Massa Nominal,Massa Konvensional,Koreksi AT,Ketidakpastian,,,,,,6,10000,F1 10 kg,0.0023094010767038932,,,
,,,g,g,g,mg,,,,,,7,20000,F1 20 kg,0,,,
,,,1000,1000.00053,0.0005300000000261207,0.28,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Nama Alat,:,Anak Timbangan,,,Tanggal Kalibrasi ,,:,2026-02-04T00:00:00,,,,,,,,,
,Kapasitas,:,2 kg,,,Due Date Kalibrasi,,:,2028-02-04T00:00:00,,,,,,,,,
,Type,:,F1,,,Tertelusur,,:,LK-045-IDN,,,,,,,,,
,S/N,:,45723,,,No. Sertif,,:,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,Massa Nominal,Massa Konvensional,Koreksi AT,Ketidakpastian,,,,,,,,,,,,
,,,g,g,g,mg,,,,,,,,,,,,
,,,2000,2000.00437,0.004370000000108121,0.34,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Nama Alat,:,Anak Timbangan,,,Tanggal Kalibrasi ,,:,2024-10-21T00:00:00,,,,,,,,,
,Kapasitas,:,10 kg,,,Due Date Kalibrasi,,:,2026-10-21T00:00:00,,,,,,,,,
,Type,:,F1,,,Tertelusur,,:,LK-022-IDN,,,,,,,,,
,S/N,:,4321,,,No. Sertif,,:,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,Massa Nominal,Massa Konvensional,Koreksi AT,Ketidakpastian,,,,,,,,,,,,
,,,g,g,g,mg,,,,,,,,,,,,
,,,10000,10000.007,0.006999999999607098,15,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Nama Alat,:,Anak Timbangan,,,Tanggal Kalibrasi ,,:,2026-02-23T00:00:00,,,,,,,,,
,Kapasitas,:,20 kg,,,Due Date Kalibrasi,,:,2028-02-23T00:00:00,,,"Nominal
g",Kelas Anak Timbang OIML (kg/m3),,,,,
,Type,:,F1,,,Tertelusur,,:,LK-045-IDN,,,,E2,F1,F2,M1,M2,
,S/N,:,130016,,,No. Sertif,,:,,,,100,8010,8060.000000000001,8550,4400,2300,
,,,,,,,,,,,,50,8010,8080,9000,4000,,
,,,Massa Nominal,Massa Konvensional,Koreksi AT,Ketidakpastian,,,,,,20,8035,8350,14400,2600,,
,,,g,g,g,mg,,,,,,10,8080,9000,4000,2000,,
,,,20000,20000.0275,0.02750000000014552,8.1,,,,,,5,8250,10650,3000,4000,,
,,,,,,,,,,,,2,9000,4000,2000,3000,,
,Nama Alat,:,Anak Timbangan,,,Tanggal Kalibrasi ,,:,2026-02-04T00:00:00,,,1,10650,3000,4000,2000,,
,Kapasitas,:,5 kg,,,Due Date Kalibrasi,,:,2028-02-04T00:00:00,,,0.5,4400,2200,3000,,,
,Type,:,F1,,,Tertelusur,,:,LK-045-IDN,,,0.2,3000,4400,2200,,,
,S/N,:,111962,,,No. Sertif,,:,,,,0.1,4400,3000,,,,
,,,,,,,,,,,,0.05,3400,,,,,
,,,Massa Nominal,Massa Konvensional,Koreksi AT,Ketidakpastian,,,,,,0.01,2300,,,,,
,,,g,g,g,mg,,,,,,Nama Standard,,Nominal Standard (g),"Standard Deviasi
(mg)",Usens (mg),,
,,F25,5000,5000.01,0.010000000000218279,0.7,,,,,,Semi Micro Balance,,80,0.001923103720334314,-2.6461006446691237e-05,,
,,,,,,,,,,,,Analytical Balance,,220,0.04636297841870652,-0.00026461006456712755,,
,,,,,,,,,,,,Electronic Balance Fujitsu,,1200,0.1940774013471526,-0.010659996194014476,,
,,,,,,,,,,,,Electronic Balance Excellent,,3100,1.6537714466089548,-4.9499326809110374e-05,,
,,,,,,,,,,,,Electronic Balance  Mettler,,30000,1.3948572862164343,-0.007071069308394962,,
