Certificate Number ,,:,001-CAL-126,,,,,,,,,,,,,,,,,,,
Electronic Balance Fujitsu,,,,1200 g,,,Fujitsu/FSR-A,,,SIDIK/134/2024,,,,,LK-305-IDN,,,,,,,
Electronic Balance Excellent,,,,1 - 3100 g,,,Excellent/DJ,,,HSEX1403752,,,,,LK-305-IDN,,,,,,,
Electronic Balance  Mettler,,,,30 kg,,,Mettler Toledo/IND690,,,3127471,,,,,LK-305-IDN,,,,,,,
Anak Timbangan E2 200 g,,,,1 mg - 200 g,,,Accurate/Stainless,,,75870,,,,,LK-045-IDN,,,,,,,
Anak Timbangan E2 500 g,,,,500 g,,,Accurate/Stainless,,,100636,,,,,LK-045-IDN,,,,,,,
Anak Timbangan E2 1 kg,,,,1000 g,,,Want Ballance/E2,,,120015,,,,,LK-045-IDN,,,,,,,
Anak Timbangan F1-2,,,,2000 g,,,Accurate/F1,,,45723,,,,,LK-045-IDN,,,,,,,
Anak Timbangan F1-5,,,,5000 g,,,Accurate/F1,,,111962,,,,,LK-045-IDN,,,,,,,
Anak Timbangan F1-10,,,,10 kg,,,Excellent/F1,,,4321,,,,,LK-022-IDN,,,,,,,
Anak Timbangan F1-20,,,,20 kg,,,Want Ballance/F1,,,130016,,,,,LK-045-IDN,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Issuance Date,,,,,,,,,,,,,,,,,,,,,,
2026-01-31T00:00:00,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Alex Misramto,,,,,,,,,,,,,,,,,,,,,,
Technical Manager,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,------- End of Certificate -------,,,,,,,,,,,,,,,,
