,,,,,,,,,,,,,,,,,,,,,U95% Sertifikat,,,,,0.12631791807560336,,,,mg,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Point at,200,g,,,,,,Nama Timbangan :,,,,Analytical Balance,,,,,,,,,,,,,,,,,,,,,
Component,,,,,,Unit,,Distribution,,,U,,,Divisor,,vi,,ui,,,ci,,uici,,,( uici )2,,,,( uici )4/ vi,,,
Repeatability,,,,,,mg,,t-tsudent,,,0.04636297841870652,,,1,,54,,0.04636297841870652,,,1,,0.04636297841870652,,,0.0021495257678534464,,,,8.556409308640644e-08,,,
Ketidakpastian Baku Sertifikat Kalibrasi Calibrator AT,,,,,,mg,,normal,,,0.03,,,2,,60,,0.015,,,1,,0.015,,,0.000225,,,,8.4375e-10,,,
Ketidakpastian Resolusi Timbangan Standard,,,,,,mg,,Rectangular,,,0.05,,,1.73,,100,,0.04086705202312139,,,1,,0.04086705202312139,,,0.00167011594106051,,,,2.7892872565844326e-08,,,
Instability,,,,,,mg,,Rectangular,,,0.015,,,1,,9,,0.015,,,1,,0.015,,,0.000225,,,,5.625e-09,,,
Bouyancy,,,,,,kg/m3,,Rectangular,,,0.12,,,1.73,,100,,0.06936416184971098,,,-0.00015489334749057396,,-1.0744047224779696e-05,,,1.1543455076829629e-10,,,,1.3325135511078372e-22,,,
Sensitivity,,,,,,mg,,t-student,,,-0.00026461006456712755,,,1.73,,100,,-0.00015295379454747257,,,1,,-0.00015295379454747257,,,2.339486326647045e-08,,,,5.473196272568484e-18,,,
Jumlah,,,,,,,,,,,,,,,,,,,,,,,,,,0.0042696652192117735,,,,1.199257156577241e-07,,,
"Ketidakpastian Baku Gabungan , Uc",,,,,,,,,,,,,,,,,,,,,,,,,,0.06534267532946424,,,,,,,
"Derajat Kebebasan , v eff",,,,,,,,,,,,,,,,,,,,,,,,,,152.01110941190015,,,,,,,
"Factor Cakupan , k=student's for v eff and CL 95 %",,,,,,,,,,,,,,,,,,,,,,,,,,1.9756939278152725,,,,,,,
"Ketidakpastian Bentangan  , U = k Uc",,,,,,,,,,,,,,,,,,,,,,,,,,0.1290971268756273,,,,mg,,,
,,,,,,,,,,,,,,,,,,,,,CMC PT. SIDIK,,,,,,,,,mg,,,
,,,,,,,,,,,,,,,,,,,,,U95% Sertifikat,,,,,0.1290971268756273,,,,mg,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Point at,200,g,,,,,,Nama Timbangan :,,,,Analytical Balance,,,,,,,,,,,,,,,,,,,,,
Component,,,,,,Unit,,Distribution,,,U,,,Divisor,,vi,,ui,,,ci,,uici,,,( uici )2,,,,( uici )4/ vi,,,
Repeatability,,,,,,mg,,t-tsudent,,,0.04636297841870652,,,1,,54,,0.04636297841870652,,,1,,0.04636297841870652,,,0.0021495257678534464,,,,8.556409308640644e-08,,,
Ketidakpastian Baku Sertifikat Kalibrasi Calibrator AT,,,,,,mg,,normal,,,0.03,,,2,,60,,0.015,,,1,,0.015,,,0.000225,,,,8.4375e-10,,,
Ketidakpastian Resolusi Timbangan Standard,,,,,,mg,,Rectangular,,,0.05,,,1.73,,100,,0.04086705202312139,,,1,,0.04086705202312139,,,0.00167011594106051,,,,2.7892872565844326e-08,,,
Instability,,,,,,mg,,Rectangular,,,0.015,,,1,,9,,0.015,,,1,,0.015,,,0.000225,,,,5.625e-09,,,
Bouyancy,,,,,,kg/m3,,Rectangular,,,0.12,,,1.73,,100,,0.06936416184971098,,,-0.00015489334749057396,,-1.0744047224779696e-05,,,1.1543455076829629e-10,,,,1.3325135511078372e-22,,,
Sensitivity,,,,,,mg,,t-student,,,-0.00026461006456712755,,,1.73,,100,,-0.00015295379454747257,,,1,,-0.00015295379454747257,,,2.339486326647045e-08,,,,5.473196272568484e-18,,,
Jumlah,,,,,,,,,,,,,,,,,,,,,,,,,,0.0042696652192117735,,,,1.199257156577241e-07,,,
"Ketidakpastian Baku Gabungan , Uc",,,,,,,,,,,,,,,,,,,,,,,,,,0.06534267532946424,,,,,,,
"Derajat Kebebasan , v eff",,,,,,,,,,,,,,,,,,,,,,,,,,152.01110941190015,,,,,,,
"Factor Cakupan , k=student's for v eff and CL 95 %",,,,,,,,,,,,,,,,,,,,,,,,,,1.9756939278152725,,,,,,,
"Ketidakpastian Bentangan  , U = k Uc",,,,,,,,,,,,,,,,,,,,,,,,,,0.1290971268756273,,,,mg,,,
,,,,,,,,,,,,,,,,,,,,,CMC PT. SIDIK,,,,,,,,,mg,,,
,,,,,,,,,,,,,,,,,,,,,U95% Sertifikat,,,,,0.1290971268756273,,,,mg,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Point at,0.005,g,,,,,,Nama Timbangan :,,,,Analytical Balance,,,,,,,,,,,,,,,,,,,,,
Component,,,,,,Unit,,Distribution,,,U,,,Divisor,,vi,,ui,,,ci,,uici,,,( uici )2,,,,( uici )4/ vi,,,
Repeatability,,,,,,mg,,t-tsudent,,,0.04636297841870652,,,1,,54,,0.04636297841870652,,,1,,0.04636297841870652,,,0.0021495257678534464,,,,8.556409308640644e-08,,,
Ketidakpastian Baku Sertifikat Kalibrasi Calibrator AT,,,,,,mg,,normal,,,0.0009,,,2,,60,,0.00045,,,1,,0.00045,,,2.025e-07,,,,6.834375e-16,,,
Ketidakpastian Resolusi Timbangan Standard,,,,,,mg,,Rectangular,,,0.05,,,1.73,,100,,0.04086705202312139,,,1,,0.04086705202312139,,,0.00167011594106051,,,,2.7892872565844326e-08,,,
Instability,,,,,,mg,,Rectangular,,,0.00045,,,1,,9,,0.00045,,,1,,0.00045,,,2.025e-07,,,,4.55625e-15,,,
Bouyancy,,,,,,kg/m3,,Rectangular,,,0.12,,,1.73,,100,,0.06936416184971098,,,#VALUE!,,#VALUE!,,,#VALUE!,,,,#VALUE!,,,
Sensitivity,,,,,,mg,,t-student,,,-0.00026461006456712755,,,1.73,,100,,-0.00015295379454747257,,,1,,-0.00015295379454747257,,,2.339486326647045e-08,,,,5.473196272568484e-18,,,
Jumlah,,,,,,,,,,,,,,,,,,,,,,,,,,#VALUE!,,,,#VALUE!,,,
"Ketidakpastian Baku Gabungan , Uc",,,,,,,,,,,,,,,,,,,,,,,,,,#VALUE!,,,,,,,
"Derajat Kebebasan , v eff",,,,,,,,,,,,,,,,,,,,,,,,,,#VALUE!,,,,,,,
"Factor Cakupan , k=student's for v eff and CL 95 %",,,,,,,,,,,,,,,,,,,,,,,,,,#VALUE!,,,,,,,
"Ketidakpastian Bentangan  , U = k Uc",,,,,,,,,,,,,,,,,,,,,,,,,,#VALUE!,,,,mg,,,
,,,,,,,,,,,,,,,,,,,,,CMC PT. SIDIK,,,,,,,,,mg,,,
,,,,,,,,,,,,,,,,,,,,,U95% Sertifikat,,,,,#VALUE!,,,,mg,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Point at,0.01,g,,,,,,Nama Timbangan :,,,,Analytical Balance,,,,,,,,,,,,,,,,,,,,,
Component,,,,,,Unit,,Distribution,,,U,,,Divisor,,vi,,ui,,,ci,,uici,,,( uici )2,,,,( uici )4/ vi,,,
Repeatability,,,,,,mg,,t-tsudent,,,0.04636297841870652,,,1,,54,,0.04636297841870652,,,1,,0.04636297841870652,,,0.0021495257678534464,,,,8.556409308640644e-08,,,
Ketidakpastian Baku Sertifikat Kalibrasi Calibrator AT,,,,,,mg,,normal,,,0.001,,,2,,60,,0.0005,,,1,,0.0005,,,2.5e-07,,,,1.0416666666666667e-15,,,
Ketidakpastian Resolusi Timbangan Standard,,,,,,mg,,Rectangular,,,0.05,,,1.73,,100,,0.04086705202312139,,,1,,0.04086705202312139,,,0.00167011594106051,,,,2.7892872565844326e-08,,,
Instability,,,,,,mg,,Rectangular,,,0.0005,,,1,,9,,0.0005,,,1,,0.0005,,,2.5e-07,,,,6.944444444444444e-15,,,
Bouyancy,,,,,,kg/m3,,Rectangular,,,0.12,,,1.73,,100,,0.06936416184971098,,,#VALUE!,,#VALUE!,,,#VALUE!,,,,#VALUE!,,,
Sensitivity,,,,,,mg,,t-student,,,-0.00026461006456712755,,,1.73,,100,,-0.00015295379454747257,,,1,,-0.00015295379454747257,,,2.339486326647045e-08,,,,5.473196272568484e-18,,,
Jumlah,,,,,,,,,,,,,,,,,,,,,,,,,,#VALUE!,,,,#VALUE!,,,
"Ketidakpastian Baku Gabungan , Uc",,,,,,,,,,,,,,,,,,,,,,,,,,#VALUE!,,,,,,,
"Derajat Kebebasan , v eff",,,,,,,,,,,,,,,,,,,,,,,,,,#VALUE!,,,,,,,
"Factor Cakupan , k=student's for v eff and CL 95 %",,,,,,,,,,,,,,,,,,,,,,,,,,#VALUE!,,,,,,,
"Ketidakpastian Bentangan  , U = k Uc",,,,,,,,,,,,,,,,,,,,,,,,,,#VALUE!,,,,mg,,,
,,,,,,,,,,,,,,,,,,,,,CMC PT. SIDIK,,,,,,,,,mg,,,
,,,,,,,,,,,,,,,,,,,,,U95% Sertifikat,,,,,#VALUE!,,,,mg,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6. Point at,0.02,g,,,,,,Nama Timbangan :,,,,Analytical Balance,,,,,,,,,,,,,,,,,,,,,
Component,,,,,,Unit,,Distribution,,,U,,,Divisor,,vi,,ui,,,ci,,uici,,,( uici )2,,,,( uici )4/ vi,,,
Repeatability,,,,,,mg,,t-tsudent,,,0.04636297841870652,,,1,,54,,0.04636297841870652,,,1,,0.04636297841870652,,,0.0021495257678534464,,,,8.556409308640644e-08,,,
Ketidakpastian Baku Sertifikat Kalibrasi Calibrator AT,,,,,,mg,,normal,,,0.001,,,2,,60,,0.0005,,,1,,0.0005,,,2.5e-07,,,,1.0416666666666667e-15,,,
Ketidakpastian Resolusi Timbangan Standard,,,,,,mg,,Rectangular,,,0.05,,,1.73,,100,,0.04086705202312139,,,1,,0.04086705202312139,,,0.00167011594106051,,,,2.7892872565844326e-08,,,
Instability,,,,,,mg,,Rectangular,,,0.0005,,,1,,9,,0.0005,,,1,,0.0005,,,2.5e-07,,,,6.944444444444444e-15,,,
Bouyancy,,,,,,kg/m3,,Rectangular,,,0.12,,,1.73,,100,,0.06936416184971098,,,#VALUE!,,#VALUE!,,,#VALUE!,,,,#VALUE!,,,
Sensitivity,,,,,,mg,,t-student,,,-0.00026461006456712755,,,1.73,,100,,-0.00015295379454747257,,,1,,-0.00015295379454747257,,,2.339486326647045e-08,,,,5.473196272568484e-18,,,
Jumlah,,,,,,,,,,,,,,,,,,,,,,,,,,#VALUE!,,,,#VALUE!,,,
"Ketidakpastian Baku Gabungan , Uc",,,,,,,,,,,,,,,,,,,,,,,,,,#VALUE!,,,,,,,
"Derajat Kebebasan , v eff",,,,,,,,,,,,,,,,,,,,,,,,,,#VALUE!,,,,,,,
"Factor Cakupan , k=student's for v eff and CL 95 %",,,,,,,,,,,,,,,,,,,,,,,,,,#VALUE!,,,,,,,
"Ketidakpastian Bentangan  , U = k Uc",,,,,,,,,,,,,,,,,,,,,,,,,,#VALUE!,,,,mg,,,
,,,,,,,,,,,,,,,,,,,,,CMC PT. SIDIK,,,,,,,,,mg,,,
,,,,,,,,,,,,,,,,,,,,,U95% Sertifikat,,,,,#VALUE!,,,,mg,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7. Point at,0.02,g,,,,,,Nama Timbangan :,,,,Analytical Balance,,,,,,,,,,,,,,,,,,,,,
Component,,,,,,Unit,,Distribution,,,U,,,Divisor,,vi,,ui,,,ci,,uici,,,( uici )2,,,,( uici )4/ vi,,,
Repeatability,,,,,,mg,,t-tsudent,,,0.04636297841870652,,,1,,54,,0.04636297841870652,,,1,,0.04636297841870652,,,0.0021495257678534464,,,,8.556409308640644e-08,,,
Ketidakpastian Baku Sertifikat Kalibrasi Calibrator AT,,,,,,mg,,normal,,,0.001,,,2,,60,,0.0005,,,1,,0.0005,,,2.5e-07,,,,1.0416666666666667e-15,,,
Ketidakpastian Resolusi Timbangan Standard,,,,,,mg,,Rectangular,,,0.05,,,1.73,,100,,0.04086705202312139,,,1,,0.04086705202312139,,,0.00167011594106051,,,,2.7892872565844326e-08,,,
Instability,,,,,,mg,,Rectangular,,,0.0005,,,1,,9,,0.0005,,,1,,0.0005,,,2.5e-07,,,,6.944444444444444e-15,,,
Bouyancy,,,,,,kg/m3,,Rectangular,,,0.12,,,1.73,,100,,0.06936416184971098,,,#VALUE!,,#VALUE!,,,#VALUE!,,,,#VALUE!,,,
Sensitivity,,,,,,mg,,t-student,,,-0.00026461006456712755,,,1.73,,100,,-0.00015295379454747257,,,1,,-0.00015295379454747257,,,2.339486326647045e-08,,,,5.473196272568484e-18,,,
Jumlah,,,,,,,,,,,,,,,,,,,,,,,,,,#VALUE!,,,,#VALUE!,,,
"Ketidakpastian Baku Gabungan , Uc",,,,,,,,,,,,,,,,,,,,,,,,,,#VALUE!,,,,,,,
"Derajat Kebebasan , v eff",,,,,,,,,,,,,,,,,,,,,,,,,,#VALUE!,,,,,,,
"Factor Cakupan , k=student's for v eff and CL 95 %",,,,,,,,,,,,,,,,,,,,,,,,,,#VALUE!,,,,,,,
"Ketidakpastian Bentangan  , U = k Uc",,,,,,,,,,,,,,,,,,,,,,,,,,#VALUE!,,,,mg,,,
,,,,,,,,,,,,,,,,,,,,,CMC PT. SIDIK,,,,,,,,,mg,,,
,,,,,,,,,,,,,,,,,,,,,U95% Sertifikat,,,,,#VALUE!,,,,mg,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8. Point at,0.05,g,,,,,,Nama Timbangan :,,,,Analytical Balance,,,,,,,,,,,,,,,,,,,,,
Component,,,,,,Unit,,Distribution,,,U,,,Divisor,,vi,,ui,,,ci,,uici,,,( uici )2,,,,( uici )4/ vi,,,
Repeatability,,,,,,mg,,t-tsudent,,,0.04636297841870652,,,1,,54,,0.04636297841870652,,,1,,0.04636297841870652,,,0.0021495257678534464,,,,8.556409308640644e-08,,,
Ketidakpastian Baku Sertifikat Kalibrasi Calibrator AT,,,,,,mg,,normal,,,0.0013,,,2,,60,,0.00065,,,1,,0.00065,,,4.225e-07,,,,2.975104166666666e-15,,,
Ketidakpastian Resolusi Timbangan Standard,,,,,,mg,,Rectangular,,,0.05,,,1.73,,100,,0.04086705202312139,,,1,,0.04086705202312139,,,0.00167011594106051,,,,2.7892872565844326e-08,,,
Instability,,,,,,mg,,Rectangular,,,0.00065,,,1,,9,,0.00065,,,1,,0.00065,,,4.225e-07,,,,1.9834027777777775e-14,,,
Bouyancy,,,,,,kg/m3,,Rectangular,,,0.12,,,1.73,,100,,0.06936416184971098,,,#VALUE!,,#VALUE!,,,#VALUE!,,,,#VALUE!,,,
Sensitivity,,,,,,mg,,t-student,,,-0.00026461006456712755,,,1.73,,100,,-0.00015295379454747257,,,1,,-0.00015295379454747257,,,2.339486326647045e-08,,,,5.473196272568484e-18,,,
Jumlah,,,,,,,,,,,,,,,,,,,,,,,,,,#VALUE!,,,,#VALUE!,,,
"Ketidakpastian Baku Gabungan , Uc",,,,,,,,,,,,,,,,,,,,,,,,,,#VALUE!,,,,,,,
"Derajat Kebebasan , v eff",,,,,,,,,,,,,,,,,,,,,,,,,,#VALUE!,,,,,,,
"Factor Cakupan , k=student's for v eff and CL 95 %",,,,,,,,,,,,,,,,,,,,,,,,,,#VALUE!,,,,,,,
"Ketidakpastian Bentangan  , U = k Uc",,,,,,,,,,,,,,,,,,,,,,,,,,#VALUE!,,,,mg,,,
,,,,,,,,,,,,,,,,,,,,,CMC PT. SIDIK,,,,,,,,,mg,,,
,,,,,,,,,,,,,,,,,,,,,U95% Sertifikat,,,,,#VALUE!,,,,mg,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9. Point at,0.1,g,,,,,,Nama Timbangan :,,,,Analytical Balance,,,,,,,,,,,,,,,,,,,,,
Component,,,,,,Unit,,Distribution,,,U,,,Divisor,,vi,,ui,,,ci,,uici,,,( uici )2,,,,( uici )4/ vi,,,
Repeatability,,,,,,mg,,t-tsudent,,,0.04636297841870652,,,1,,54,,0.04636297841870652,,,1,,0.04636297841870652,,,0.0021495257678534464,,,,8.556409308640644e-08,,,
Ketidakpastian Baku Sertifikat Kalibrasi Calibrator AT,,,,,,mg,,normal,,,0.0015,,,2,,60,,0.00075,,,1,,0.00075,,,5.625e-07,,,,5.2734375000000004e-15,,,
Ketidakpastian Resolusi Timbangan Standard,,,,,,mg,,Rectangular,,,0.05,,,1.73,,100,,0.04086705202312139,,,1,,0.04086705202312139,,,0.00167011594106051,,,,2.7892872565844326e-08,,,
Instability,,,,,,mg,,Rectangular,,,0.00075,,,1,,9,,0.00075,,,1,,0.00075,,,5.625e-07,,,,3.5156250000000005e-14,,,
Bouyancy,,,,,,kg/m3,,Rectangular,,,0.12,,,1.73,,100,,0.06936416184971098,,,1.0606696969696969e-05,,7.357246452968995e-07,,,5.412907536972486e-13,,,,2.9299568003813542e-27,,,
Sensitivity,,,,,,mg,,t-student,,,-0.00026461006456712755,,,1.73,,100,,-0.00015295379454747257,,,1,,-0.00015295379454747257,,,2.339486326647045e-08,,,,5.473196272568484e-18,,,
Jumlah,,,,,,,,,,,,,,,,,,,,,,,,,,0.003820790104318514,,,,1.1345700608741147e-07,,,
"Ketidakpastian Baku Gabungan , Uc",,,,,,,,,,,,,,,,,,,,,,,,,,0.06181254002480819,,,,,,,
"Derajat Kebebasan , v eff",,,,,,,,,,,,,,,,,,,,,,,,,,128.66933056572205,,,,,,,
"Factor Cakupan , k=student's for v eff and CL 95 %",,,,,,,,,,,,,,,,,,,,,,,,,,1.978670849837835,,,,,,,
"Ketidakpastian Bentangan  , U = k Uc",,,,,,,,,,,,,,,,,,,,,,,,,,0.12230667110152241,,,,mg,,,
,,,,,,,,,,,,,,,,,,,,,CMC PT. SIDIK,,,,,,,,,mg,,,
,,,,,,,,,,,,,,,,,,,,,U95% Sertifikat,,,,,0.12230667110152241,,,,mg,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10. Point at,0.2,g,,,,,,Nama Timbangan :,,,,Analytical Balance,,,,,,,,,,,,,,,,,,,,,
Component,,,,,,Unit,,Distribution,,,U,,,Divisor,,vi,,ui,,,ci,,uici,,,( uici )2,,,,( uici )4/ vi,,,
Repeatability,,,,,,mg,,t-tsudent,,,0.04636297841870652,,,1,,54,,0.04636297841870652,,,1,,0.04636297841870652,,,0.0021495257678534464,,,,8.556409308640644e-08,,,
Ketidakpastian Baku Sertifikat Kalibrasi Calibrator AT,,,,,,mg,,normal,,,0.0016,,,2,,60,,0.0008,,,1,,0.0008,,,6.4e-07,,,,6.8266666666666674e-15,,,
Ketidakpastian Resolusi Timbangan Standard,,,,,,mg,,Rectangular,,,0.05,,,1.73,,100,,0.04086705202312139,,,1,,0.04086705202312139,,,0.00167011594106051,,,,2.7892872565844326e-08,,,
Instability,,,,,,mg,,Rectangular,,,0.0008,,,1,,9,,0.0008,,,1,,0.0008,,,6.4e-07,,,,4.551111111111112e-14,,,
Bouyancy,,,,,,kg/m3,,Rectangular,,,0.12,,,1.73,,100,,0.06936416184971098,,,-2.121247121212121e-05,,-1.4713852863899102e-06,,,2.164974661004718e-12,,,,4.687115282792494e-26,,,
Sensitivity,,,,,,mg,,t-student,,,-0.00026461006456712755,,,1.73,,100,,-0.00015295379454747257,,,1,,-0.00015295379454747257,,,2.339486326647045e-08,,,,5.473196272568484e-18,,,
Jumlah,,,,,,,,,,,,,,,,,,,,,,,,,,0.003820945105942198,,,,1.1345701799550175e-07,,,
"Ketidakpastian Baku Gabungan , Uc",,,,,,,,,,,,,,,,,,,,,,,,,,0.06181379381612326,,,,,,,
"Derajat Kebebasan , v eff",,,,,,,,,,,,,,,,,,,,,,,,,,128.6797569737155,,,,,,,
"Factor Cakupan , k=student's for v eff and CL 95 %",,,,,,,,,,,,,,,,,,,,,,,,,,1.978670849837835,,,,,,,
"Ketidakpastian Bentangan  , U = k Uc",,,,,,,,,,,,,,,,,,,,,,,,,,0.12230915194184931,,,,mg,,,
,,,,,,,,,,,,,,,,,,,,,CMC PT. SIDIK,,,,,,,,,mg,,,
,,,,,,,,,,,,,,,,,,,,,U95% Sertifikat,,,,,0.12230915194184931,,,,mg,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11. Point at,0.2,g,,,,,,Nama Timbangan :,,,,Analytical Balance,,,,,,,,,,,,,,,,,,,,,
Component,,,,,,Unit,,Distribution,,,U,,,Divisor,,vi,,ui,,,ci,,uici,,,( uici )2,,,,( uici )4/ vi,,,
Repeatability,,,,,,mg,,t-tsudent,,,0.04636297841870652,,,1,,54,,0.04636297841870652,,,1,,0.04636297841870652,,,0.0021495257678534464,,,,8.556409308640644e-08,,,
Ketidakpastian Baku Sertifikat Kalibrasi Calibrator AT,,,,,,mg,,normal,,,0.0016,,,2,,60,,0.0008,,,1,,0.0008,,,6.4e-07,,,,6.8266666666666674e-15,,,
Ketidakpastian Resolusi Timbangan Standard,,,,,,mg,,Rectangular,,,0.05,,,1.73,,100,,0.04086705202312139,,,1,,0.04086705202312139,,,0.00167011594106051,,,,2.7892872565844326e-08,,,
Instability,,,,,,mg,,Rectangular,,,0.0008,,,1,,9,,0.0008,,,1,,0.0008,,,6.4e-07,,,,4.551111111111112e-14,,,
Bouyancy,,,,,,kg/m3,,Rectangular,,,0.12,,,1.73,,100,,0.06936416184971098,,,-2.121247121212121e-05,,-1.4713852863899102e-06,,,2.164974661004718e-12,,,,4.687115282792494e-26,,,
Sensitivity,,,,,,mg,,t-student,,,-0.00026461006456712755,,,1.73,,100,,-0.00015295379454747257,,,1,,-0.00015295379454747257,,,2.339486326647045e-08,,,,5.473196272568484e-18,,,
Jumlah,,,,,,,,,,,,,,,,,,,,,,,,,,0.003820945105942198,,,,1.1345701799550175e-07,,,
"Ketidakpastian Baku Gabungan , Uc",,,,,,,,,,,,,,,,,,,,,,,,,,0.06181379381612326,,,,,,,
"Derajat Kebebasan , v eff",,,,,,,,,,,,,,,,,,,,,,,,,,128.6797569737155,,,,,,,
"Factor Cakupan , k=student's for v eff and CL 95 %",,,,,,,,,,,,,,,,,,,,,,,,,,1.978670849837835,,,,,,,
"Ketidakpastian Bentangan  , U = k Uc",,,,,,,,,,,,,,,,,,,,,,,,,,0.12230915194184931,,,,mg,,,
,,,,,,,,,,,,,,,,,,,,,CMC PT. SIDIK,,,,,,,,,mg,,,
,,,,,,,,,,,,,,,,,,,,,U95% Sertifikat,,,,,0.12230915194184931,,,,mg,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12. Point at,0.5,g,,,,,,Nama Timbangan :,,,,Analytical Balance,,,,,,,,,,,,,,,,,,,,,
Component,,,,,,Unit,,Distribution,,,U,,,Divisor,,vi,,ui,,,ci,,uici,,,( uici )2,,,,( uici )4/ vi,,,
Repeatability,,,,,,mg,,t-tsudent,,,0.04636297841870652,,,1,,54,,0.04636297841870652,,,1,,0.04636297841870652,,,0.0021495257678534464,,,,8.556409308640644e-08,,,
Ketidakpastian Baku Sertifikat Kalibrasi Calibrator AT,,,,,,mg,,normal,,,0.0023,,,2,,60,,0.00115,,,1,,0.00115,,,1.3225e-06,,,,2.915010416666667e-14,,,
Ketidakpastian Resolusi Timbangan Standard,,,,,,mg,,Rectangular,,,0.05,,,1.73,,100,,0.04086705202312139,,,1,,0.04086705202312139,,,0.00167011594106051,,,,2.7892872565844326e-08,,,
Instability,,,,,,mg,,Rectangular,,,0.00115,,,1,,9,,0.00115,,,1,,0.00115,,,1.3225e-06,,,,1.9433402777777778e-13,,,
Bouyancy,,,,,,kg/m3,,Rectangular,,,0.12,,,1.73,,100,,0.06936416184971098,,,0.00011363615909090909,,7.882276931161324e-06,,,6.213028961951797e-11,,,,3.8601728882051817e-23,,,
Sensitivity,,,,,,mg,,t-student,,,-0.00026461006456712755,,,1.73,,100,,-0.00015295379454747257,,,1,,-0.00015295379454747257,,,2.339486326647045e-08,,,,5.473196272568484e-18,,,
Jumlah,,,,,,,,,,,,,,,,,,,,,,,,,,0.0038223101659075123,,,,1.1345718914185595e-07,,,
