,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,,49.99999,50.00003,50.00003,50.00001,3.0000000002416982e-05,50.00002,50.00003,50.00003,50.00002,1.0000000003174137e-05,50.00001,50.00003,50.00003,50.00001,1.9999999999242846e-05,50.00001,50.00003,50.00003,50.00001,1.9999999999242846e-05,50.00001,50.00001,50.00003,50.00001,9.999999999621423e-06,50.00001,50.00001,50.00001,50,5.000000001587068e-06
,8,,50,50.00002,50.00002,49.99999,2.5000000000829914e-05,50.00002,50.00002,50.00002,50.00002,0,50.00002,50.00002,50.00002,50.00002,0,50.00002,50.00002,50.00002,50.00001,4.9999999980343546e-06,50.00002,50.00001,50.00001,50.00002,-9.999999996068709e-06,50,50,50.00002,50.00001,4.9999999980343546e-06
,9,,50.00002,50.00003,50.00002,50.00001,9.999999999621423e-06,50.00001,50.00002,50.00002,50.00001,9.999999996068709e-06,50.00002,50.00002,50.00002,50.00001,4.9999999980343546e-06,50.00001,50.00002,50.00002,50.00002,4.9999999980343546e-06,50,50.00002,50.00002,50,1.9999999999242846e-05,50,50.00001,50.00002,50.00001,9.999999999621423e-06
,10,,50.00001,50.00002,50.00002,50.00001,9.999999996068709e-06,50.00002,50.00002,50.00002,50.00002,0,50.00001,50.00002,50.00002,50.00002,4.9999999980343546e-06,50.00001,50.00002,50.00002,50.00002,4.9999999980343546e-06,50,50.00003,50.00002,50.00001,1.9999999999242846e-05,50.00001,50.00002,50.00002,50.00002,4.9999999980343546e-06
,STDev,,8.959786704781921e-06,,,,,7.149203529406107e-06,,,,,6.146362971424353e-06,,,,,5.868938953596891e-06,,,,,1.0749676997214277e-05,,,,,9.143911150739058e-06,,,,
,Rata-rata STDev,,1.923103720334314e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nama Standard,:,Analytical Balance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nominal AT,:,200,g,,,,,,,,,,,,,,,,,,,,,,,,,,g,,
,Tanggal Verifikasi ,,2026-05-04T00:00:00,,,,,2026-05-05T00:00:00,,,,,2026-05-06T00:00:00,,,,,2026-05-07T00:00:00,,,,,2026-05-08T00:00:00,,,,,2026-05-11T00:00:00,,,,
,Repeat,,Pembacaan (g),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,S,T,T,S,∆m,S,T,T,S,∆m,S,T,T,S,∆m,S,T,T,S,∆m,S,T,T,S,∆m,S,T,T,S,∆m
,n,,1,,,,,2,,,,,3,,,,,4,,,,,5,,,,,6,,,,
,1,,200.0002,200.0003,200.0002,199.9999,0.0002000000000066393,200,200.0001,200.0002,200,0.00015000000000497948,200.0003,200.0002,200.0001,200,0,200,200,199.9998,200,-0.00010000000000331966,199.9998,200.0002,200.0002,200,0.00030000000000995897,200.0003,199.9998,200.0002,200.0002,-0.00025000000000829914
,2,,200,200.0002,200.0003,200,0.00025000000000829914,200.0001,200.0002,200.0002,200,0.00015000000000497948,199.9999,200.0001,200.0001,200,0.00015000000000497948,200,200.0002,200.0002,200,0.0002000000000066393,199.9999,200.0001,200.0002,200,0.0002000000000066393,200,200.0001,200.0001,199.9999,0.00015000000000497948
,3,,200,200.0001,200.0002,200,0.00015000000000497948,200.0001,200.0002,200.0001,200.0001,5.000000000165983e-05,200,200.0001,200.0002,200.0001,0.00010000000000331966,200.0001,199.9998,200.0002,200,-5.000000000165983e-05,200,199.9998,200.0002,200,0,199.9998,200.0002,200.0001,199.9999,0.00030000000000995897
,4,,200.0001,200.0001,200.0002,200,0.00010000000000331966,199.9999,200.0001,200.0001,200.0001,0.00010000000000331966,199.9998,200.0002,200.0002,200.0001,0.00025000000000829914,200.0001,200.0001,199.9999,200.0001,-0.00010000000000331966,200,200.0002,200.0001,200.0001,0.00010000000000331966,200.0001,199.9998,200,200,-0.00015000000000497948
,5,,200.0001,200.0002,200.0002,200.0001,0.00010000000000331966,199.9999,200.0002,200.0002,200.0001,0.0002000000000066393,200.0001,200.0002,200.0001,200,0.00010000000000331966,200,200.0002,200.0001,200.0001,0.00010000000000331966,200.0001,200.0001,200.0001,200.0001,0,200,200.0001,200,200,5.000000000165983e-05
,6,,200.0001,200.0002,200.0003,200.0001,0.00015000000000497948,200,200.0001,200.0002,200,0.00015000000000497948,199.9998,200.0001,200.0002,200,0.00025000000000829914,200.0001,199.9998,200.0001,200.0001,-0.00015000000000497948,200.0001,200.0001,200.0002,200,0.00010000000000331966,199.9999,200.0002,200.0002,200,0.00025000000000829914
,7,,200,200.0001,200.0002,200,0.00015000000000497948,200,200.0002,200.0001,199.9999,0.0002000000000066393,200,200.0001,200.0001,200.0001,5.000000000165983e-05,200,200.0001,200.0002,200,0.00015000000000497948,199.9999,199.9998,200.0002,200.0001,0,199.9999,200.0001,200.0001,200.0001,0.00010000000000331966
,8,,200,200.0001,200.0002,199.9999,0.0002000000000066393,200.0001,200.0002,200.0001,200,0.00010000000000331966,200.0001,200,200.0002,200.0001,0,200.0001,200.0002,200.0001,200,0.00010000000000331966,199.9999,200.0002,200.0002,200.0001,0.0002000000000066393,200,199.9998,200.0001,200.0001,-0.00010000000000331966
,9,,200,200.0002,200.0002,199.9999,0.00025000000000829914,200.0001,200.0001,200.0002,199.9999,0.00015000000000497948,200.0003,200,200.0001,200,-0.00010000000000331966,200.0001,200.0001,200,200.0001,-5.000000000165983e-05,200,200.0001,200.0001,200,0.00010000000000331966,200.0001,200,200.0002,200,5.000000000165983e-05
,10,,200.0001,200.0002,200.0002,200,0.00015000000000497948,200,200.0002,200.0001,199.9999,0.0002000000000066393,199.9998,200.0001,200.0002,200.0001,0.0002000000000066393,200,199.9998,200.0001,200,-5.000000000165983e-05,200,199.9998,200.0001,200,-5.000000000165983e-05,200,200.0001,200.0001,200,0.00010000000000331966
,STDev,,5.3748384990441254e-05,,,,,4.9721446302238236e-05,,,,,0.00011547005384175837,,,,,0.00012122064364381199,,,,,0.00011167910378871372,,,,,0.00017320508076263755,,,,
,Rata-rata STDev,,4.636297841870652e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nama Standard,:,Electronic Balance Fujitsu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nominal AT,:,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tanggal Verifikasi ,,2026-05-04T00:00:00,,,,,2026-05-05T00:00:00,,,,,2026-05-06T00:00:00,,,,,2026-05-07T00:00:00,,,,,2026-05-08T00:00:00,,,,,2026-05-11T00:00:00,,,,
,Repeat,,Pembacaan (g),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,S,T,T,S,∆m,S,T,T,S,∆m,S,T,T,S,∆m,S,T,T,S,∆m,S,T,T,S,∆m,S,T,T,S,∆m
,n,,1,,,,,2,,,,,3,,,,,4,,,,,5,,,,,6,,,,
,1,,1000,1000.001,1000,1000,0.0004999999999881766,999.999,1000.001,1000.002,1000,0.0019999999999527063,1000,1000.001,1000.002,999.999,0.0019999999999527063,1000,1000,1000.002,1000,0.0009999999999763531,999.999,999.998,999.999,1000,-0.0009999999999763531,1000.001,999.998,1000.001,999.999,-0.0004999999999881766
,2,,1000,1000.001,1000.001,1000,0.0009999999999763531,999.999,1000.001,1000.001,1000,0.0014999999999645297,1000,1000.001,1000.002,1000,0.0014999999999645297,1000,1000.001,1000.002,999.999,0.0019999999999527063,1000,999.998,1000,1000,-0.0009999999999763531,1000,1000,1000.001,1000,0.0004999999999881766
,3,,1000.001,1000.002,1000,1000,0.0004999999999881766,1000,1000.001,1000.001,999.999,0.0014999999999645297,1000,1000.001,1000.001,1000,0.0009999999999763531,1000.001,1000.001,1000.001,999.999,0.0009999999999763531,999.999,1000,1000.001,999.999,0.0014999999999645297,1000.0001,1000.001,1000,1000,0.0004500000000007276
,4,,1000,1000.001,1000.001,1000.001,0.0004999999999881766,1000,1000.001,1000.002,1000,0.0014999999999645297,999.999,1000.002,1000.001,1000,0.0019999999999527063,1000,1000,1000.001,1000,0.0004999999999881766,999.999,999.999,1000.001,1000,0.0004999999999881766,1000,1000.001,999.998,999.999,0
,5,,1000,1000.001,1000.001,1000,0.0009999999999763531,1000.001,1000.002,1000.002,1000,0.0014999999999645297,1000,1000.001,1000.001,1000,0.0009999999999763531,1000.001,1000.001,1000,1000,0,1000,1000,1000,999.999,0.0004999999999881766,999.999,1000.002,999.999,1000,0.0009999999999763531
,6,,1000.001,1000.001,1000,1000.001,-0.0004999999999881766,1000,1000.001,1000.001,1000.001,0.0004999999999881766,1000,1000.001,1000.001,999.999,0.0014999999999645297,1000,1000.001,1000.002,1000.001,0.0009999999999763531,1000,1000.001,1000.002,1000,0.0014999999999645297,999.999,1000.001,1000,1000,0.0009999999999763531
,7,,1000.001,1000.001,1000.001,1000,0.0004999999999881766,1000,1000.001,1000.001,1000,0.0009999999999763531,999.999,1000.001,1000.001,1000,0.0014999999999645297,1000,1000,1000.001,1000,0.0004999999999881766,1000.001,1000.001,1000.001,999.999,0.0009999999999763531,1000,1000,1000.002,1000,0.0009999999999763531
,8,,1000,1000.001,1000,1000,0.0004999999999881766,999.999,1000.002,1000.001,1000,0.0019999999999527063,1000,1000.002,1000.001,1000,0.0014999999999645297,1000,1000.001,1000,1000.001,0,1000.001,1000,1000,1000,-0.0004999999999881766,1000,1000.001,1000.001,999.999,0.0014999999999645297
,9,,1000,1000,1000,1000,0,1000,1000.001,1000.002,1000,0.0014999999999645297,1000,1000.001,1000.001,1000,0.0009999999999763531,1000,1000,1000.001,1000,0.0004999999999881766,1000,999.998,1000.002,1000,0,1000.001,1000.002,1000.002,1000,0.0014999999999645297
,10,,1000,1000,1000.001,1000,0.0004999999999881766,1000.001,1000.001,1000.002,1000,0.0009999999999763531,1000,1000.001,1000.002,999.999,0.0019999999999527063,1000,1000.001,1000,1000,0.0004999999999881766,1000,999.999,1000.001,1000,0,1000,1000,1000,1000,0
,STDev,,0.000437797517875104,,,,,0.00045946829172547574,,,,,0.00040824829045420924,,,,,0.0005868938953747555,,,,,0.0009204467514105059,,,,,0.0006701782515623399,,,,
,Rata-rata STDev,,0.0001940774013471526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nama Standard,:,Electronic Balance Excellent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nominal AT,:,2000,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tanggal Verifikasi ,,2026-05-04T00:00:00,,,,,2026-05-05T00:00:00,,,,,2026-05-06T00:00:00,,,,,2026-05-07T00:00:00,,,,,2026-05-08T00:00:00,,,,,2026-05-11T00:00:00,,,,
,Repeat,,Pembacaan (g),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,S,T,T,S,∆m,S,T,T,S,∆m,S,T,T,S,∆m,S,T,T,S,∆m,S,T,T,S,∆m,S,T,T,S,∆m
,n,,1,,,,,2,,,,,3,,,,,4,,,,,5,,,,,6,,,,
,1,,2000,2000.01,2000.01,2000,0.009999999999990905,2000.01,2000.02,2000,2000,0.0049999999999954525,1999.99,2000,2000.01,2000,0.009999999999990905,2000,2000,2000,1999.99,0.0049999999999954525,2000,2000,2000,2000,0,1999.99,2000,2000,1999.99,0.009999999999990905
,2,,2000,2000.01,2000.01,1999.99,0.014999999999986358,2000,2000.01,2000,2000.01,0,2000,2000.01,2000,2000,0.0049999999999954525,2000,1999.99,2000.01,2000,0,2000,2000,2000,2000,0,2000,2000.01,2000,2000,0.0049999999999954525
,3,,2000,2000,2000.01,2000,0.0049999999999954525,2000,2000.01,2000.01,2000,0.009999999999990905,2000,2000,2000.01,2000,0.0049999999999954525,2000.01,2000,2000,2000,-0.0049999999999954525,2000,2000.01,2000,2000,0.0049999999999954525,2000,2000.02,2000.02,2000,0.01999999999998181
,4,,2000,2000.01,2000,2000,0.0049999999999954525,2000,2000,2000.01,2000,0.0049999999999954525,1999.99,1999.99,2000.02,2000,0.009999999999990905,2000,1999.99,2000.01,1999.99,0.0049999999999954525,2000,2000,2000.01,2000,0.0049999999999954525,1999.99,2000,2000,2000,0.0049999999999954525
,5,,2000,2000.01,2000.01,2000,0.009999999999990905,2000.01,2000.01,2000,2000,0,2000,2000,2000.01,2000,0.0049999999999954525,2000,2000,2000.01,2000,0.0049999999999954525,2000,2000.02,2000,2000.01,0.0049999999999954525,2000,2000.01,2000.01,2000,0.009999999999990905
,6,,2000,2000.01,2000.02,2000,0.014999999999986358,2000,2000.02,2000.02,2000.01,0.014999999999986358,2000,1999.98,2000,2000,-0.009999999999990905,2000,2000,2000,2000,0,2000,2000,2000.01,2000,0.0049999999999954525,2000,2000,2000,2000,0
,7,,2000,2000.01,2000.01,2000,0.009999999999990905,2000,2000,2000,2000.01,-0.0049999999999954525,2000,1999.98,2000.01,2000,-0.0049999999999954525,2000.01,2000.01,2000.02,2000,0.009999999999990905,2000,2000,2000,2000,0,2000,2000,1999.99,1999.99,0
,8,,2000,2000.01,2000.01,2000,0.009999999999990905,2000,2000.02,2000.01,2000,0.014999999999986358,2000,2000.01,2000,2000,0.0049999999999954525,2000,2000,2000,2000,0,2000,2000.01,2000,2000,0.0049999999999954525,2000,2000.01,2000,2000,0.0049999999999954525
,9,,2000,2000,2000.01,2000,0.0049999999999954525,2000.01,2000,2000,2000,-0.0049999999999954525,2000,2000,2000.01,2000,0.0049999999999954525,2000,2000,2000.01,2000,0.0049999999999954525,2000,2000.01,2000.01,2000,0.009999999999990905,1999.99,2000,2000,2000,0.0049999999999954525
,10,,2000,2000,2000.01,1999.99,0.009999999999990905,2000,2000,2000.02,2000,0.009999999999990905,2000,2000.01,2000,2000,0.0049999999999954525,2000,2000,2000,1999.99,0.0049999999999954525,2000,2000,2000,2000,0,2000,2000,2000,2000,0
,STDev,,0.0036893239368597525,,,,,0.00745355992499252,,,,,0.006258327785167171,,,,,0.004216370213554004,,,,,0.003374742788549695,,,,,0.006146362971523002,,,,
,Rata-rata STDev,,0.0016537714466089547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nama Standard,:,Electronic Balance  Mettler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nominal AT,:,20,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tanggal Verifikasi ,,2026-05-04T00:00:00,,,,,2026-05-05T00:00:00,,,,,2026-05-06T00:00:00,,,,,2026-05-07T00:00:00,,,,,2026-05-08T00:00:00,,,,,2026-05-11T00:00:00,,,,
,Repeat,,Pembacaan (g),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,S,T,T,S,∆m,S,T,T,S,∆m,S,T,T,S,∆m,S,T,T,S,∆m,S,T,T,S,∆m,S,T,T,S,∆m
,n,,1,,,,,2,,,,,3,,,,,4,,,,,5,,,,,6,,,,
,1,,20000,20000,20000.01,20000.01,0,20000,19999.98,20000,20000,-0.010000000000218279,20000,20000,20000,20000,0,20000,20000,20000,20000,0,20000,20000,20000.02,20000,0.010000000000218279,20000,20000,20000.01,20000,0.004999999999199645
,2,,20000,20000,20000,20000,0,20000,19999.99,20000,20000,-0.004999999999199645,20000,20000,20000.01,20000.01,0,20000,20000,20000.01,19999.99,0.00999999999839929,20000,20000,20000,20000,0,20000,20000,20000,20000,0
,3,,20000,20000.01,20000,20000,0.004999999999199645,20000,20000,20000.01,19999.99,0.00999999999839929,20000,20000.02,20000.02,20000,0.020000000000436557,20000,20000.01,20000,20000,0.004999999999199645,20000,20000,20000.01,20000,0.004999999999199645,20000,19999.99,20000.01,20000.01,-0.004999999999199645
,4,,20000,20000,20000,20000,0,20000,20000,20000.01,20000,0.004999999999199645,20000.01,20000,20000,20000,-0.004999999999199645,20000,20000,20000,20000,0,19999.99,20000.01,20000,20000,0.00999999999839929,20000,19999.98,20000,20000,-0.010000000000218279
,5,,20000,20000,19999.99,20000,-0.004999999999199645,20000,20000,20000,20000,0,20000,20000.01,20000,20000,0.004999999999199645,20000,20000,20000.01,20000,0.004999999999199645,20000,20000.01,20000.02,20000,0.014999999999417923,20000,20000,20000,20000,0
,6,,20000,20000.01,20000,20000,0.004999999999199645,19999.99,20000.01,20000,20000,0.00999999999839929,20000,20000,20000.01,20000,0.004999999999199645,20000,19999.99,20000.01,20000,0,20000,20000,20000,20000,0,20000,20000.01,20000,20000,0.004999999999199645
,7,,20000,20000.01,20000,20000,0.004999999999199645,20000,20000,19999.99,20000,-0.004999999999199645,20000,20000.02,20000,20000,0.010000000000218279,20000,20000,20000,20000,0,20000,20000,20000,20000,0,20000,20000,20000.02,20000,0.010000000000218279
,8,,20000,20000,20000,20000,0,20000,20000,20000,20000,0,20000,20000,20000,20000,0,20000,19999.98,20000,20000,-0.010000000000218279,20000,20000.02,20000.01,20000,0.014999999999417923,20000,20000,20000,20000,0
,9,,20000,20000,20000,20000,0,20000,20000,20000,20000,0,20000,20000,20000,20000,0,20000,20000,20000,20000,0,20000,20000,20000,20000,0,20000,20000.01,20000,20000,0.004999999999199645
,10,,20000,20000,20000,20000,0,20000,20000,20000,20000,0,20000,20000,20000,20000,0,20000,20000,20000,20000,0,20000,20000,20000,20000,0,20000,20000,20000,20000,0
,STDev,,0.00316227765966219,,,,,0.006433419687839654,,,,,0.007090682462051761,,,,,0.005163977794547142,,,,,0.006433419688248057,,,,,0.005676462121778928,,,,
,Rata-rata STDev,,0.0013948572862164344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
