 COMMON DATA ,,,,,,,,,,,,,,,,,,,SPECIFIC DATA,,,,,,,,,,,,,Reminder Recalibration,,,TOTAL
,,20.36,20,0.4,,48.72,50,-0.88,4.8,,,,,,,,,,,,,,,4,F25,,,,,,,,,,
,,30.27,30,0.31,,69.06,70,-0.54,,,,,,,,,,,,,,,,5,F210,,,,,,,,,,
,,40.78,40,0.7800000000000011,,77.54,80,-2.06,,,,,,,,,,,,,,,,6,F220,,,,,,,,,,
,,50.49,50,0.51,,86.4,89,-2.2,,,,,,,,,,,,,,,,7,M1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,8,M2,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,9,M3,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Jenis Pengukuran,"Metode Kalibrasi
(Latest IK)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Enclosure,SIDIK-IK-CAL-0501_Rev.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TITS,SIDIK-IK-CAL-0502_Rev.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TIDS,SIDIK-IK-CAL-0503_Rev.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Pressure Gauge,SIDIK-IK-CAL-0504_Rev.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Timbangan,SIDIK-IK-CAL-0505-Rev.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,pH Meter,SIDIK-IK-CAL-0506_Rev.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Conductivity Meter,SIDIK-IK-CAL-0507_Rev.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Spectrophotometer,SIDIK-IK-CAL-0508_Rev.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Timer & Stopwatch,SIDIK-IK-CAL-0509_Rev.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Volumetrik,SIDIK-IK-CAL-0510_Rev.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Centrifuge & Tachometer,SIDIK-IK-CAL-0511_Rev.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Kelistrikan,SIDIK-IK-CAL-0512_Rev.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Gaya (UTM),SIDIK-IK-CAL-0513_Rev.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Load Cell & Proving Ring,SIDIK-IK-CAL-0514_Rev.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Mikrometer,SIDIK-IK-CAL-0515_Rev.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Refractometer,SIDIK-IK-CAL-0516_Rev.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Viscometer,SIDIK-IK-CAL-0517_Rev.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Thermohygro,SIDIK-IK-CAL-0518_Rev.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Dial Indicator,SIDIK-IK-CAL-0519_Rev.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Jangka Sorong (Caliper),SIDIK-IK-CAL-0520_Rev.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Verifikasi Metode Kerja Kalibrasi,SIDIK-IK-CAL-0521_Rev.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"Micropipette,Dispenser, & Piston Buret",SIDIK-IK-CAL-0522_Rev.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Turbidy Meter,SIDIK-IK-CAL-0523_Rev.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Chlorine Meter,SIDIK-IK-CAL-0524_Rev.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Hydrometer,SIDIK-IK-CAL-0525_Rev.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Sieve Mesh,SIDIK-IK-CAL-0526_Rev.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Thermometer Glass,SIDIK-IK-CAL-0527_Rev.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Flowmeter,SIDIK-IK-CAL-0528_Rev.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Thermocouple,SIDIK-IK-CAL-0529_Rev.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,DO Meter,SIDIK-IK-CAL-0530_Rev.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Autoclave,SIDIK-IK-CAL-0531_Rev.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Differential Pressure,SIDIK-IK-CAL-0532_Rev.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Pressure Transmitter,SIDIK-IK-CAL-0533_Rev.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Vacuum Gauge,SIDIK-IK-CAL-0534_Rev.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Anak Timbangan,SIDIK-IK-CAL-0535_Rev.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Gas Detector,SIDIK-IK-CAL-0536_Rev.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Height Gauge,SIDIK-IK-CAL-0537_Rev.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Validasi,Jabatan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AM,Technical Manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NR,Supervisor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,DR,Data Analyst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NS,Data Analyst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
